latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.363796,-4.541809,395.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,12.8,8.8,34695.25
2011-01-02,13.1,7.8,34733.18
2011-01-03,13.3,3.4,34774.90
2011-01-04,14.5,1.9,34820.30
2011-01-05,16.0,3.3,34869.27
2011-01-06,16.2,9.9,34921.69
2011-01-07,12.8,8.5,34977.45
2011-01-08,17.0,8.1,35036.45
2011-01-09,12.7,6.7,35098.55
2011-01-10,11.2,4.1,35163.65
2011-01-11,11.7,3.9,35231.64
2011-01-12,15.1,2.5,35302.39
2011-01-13,17.9,4.4,35375.82
2011-01-14,16.7,4.4,35451.78
2011-01-15,17.9,2.1,35530.18
2011-01-16,15.9,5.4,35610.91
2011-01-17,15.6,4.0,35693.85
2011-01-18,14.7,3.0,35778.91
2011-01-19,13.5,7.3,35865.96
2011-01-20,14.4,5.8,35954.91
2011-01-21,13.2,4.8,36045.83
2011-01-22,10.5,5.0,36139.71
2011-01-23,7.0,2.8,36236.57
2011-01-24,12.8,3.3,36336.25
2011-01-25,11.8,5.8,36438.58
2011-01-26,10.6,4.1,36543.40
2011-01-27,11.2,7.1,36650.55
2011-01-28,12.0,7.4,36759.87
2011-01-29,9.9,4.8,36871.21
2011-01-30,9.6,2.5,36984.43
2011-01-31,9.4,2.2,37099.36
2011-02-01,9.9,-0.0,37215.87
2011-02-02,11.0,-1.3,37333.80
2011-02-03,12.7,-0.5,37453.04
2011-02-04,15.4,-1.7,37573.41
2011-02-05,16.0,0.8,37694.80
2011-02-06,16.8,1.4,37817.08
2011-02-07,16.3,1.7,37940.11
2011-02-08,14.5,2.5,38063.75
2011-02-09,15.7,3.5,38187.89
2011-02-10,15.9,4.9,38312.62
2011-02-11,15.0,4.5,38439.10
2011-02-12,16.2,1.8,38567.41
2011-02-13,15.3,2.0,38697.40
2011-02-14,11.2,3.3,38828.94
2011-02-15,10.7,6.8,38961.89
2011-02-16,10.9,3.7,39096.12
2011-02-17,10.9,5.9,39231.48
2011-02-18,12.4,4.8,39367.86
2011-02-19,13.1,4.3,39505.13
2011-02-20,14.4,9.7,39643.16
2011-02-21,14.8,8.1,39781.84
2011-02-22,13.9,6.8,39921.02
2011-02-23,19.4,4.7,40060.62
2011-02-24,19.9,5.2,40200.50
2011-02-25,20.6,4.6,40340.54
2011-02-26,20.4,5.0,40480.64
2011-02-27,16.2,7.6,40620.69
2011-02-28,13.4,4.2,40760.57
2011-03-01,10.8,2.4,40900.16
2011-03-02,11.4,0.7,41039.57
2011-03-03,12.5,-0.2,41179.90
2011-03-04,10.7,3.7,41321.25
2011-03-05,14.6,4.3,41463.51
2011-03-06,14.9,3.7,41606.57
2011-03-07,15.8,5.0,41750.33
2011-03-08,16.1,7.3,41894.70
2011-03-09,11.1,7.7,42039.55
2011-03-10,14.3,6.3,42184.81
2011-03-11,14.5,8.9,42330.36
2011-03-12,14.7,8.0,42476.11
2011-03-13,15.3,7.6,42621.97
2011-03-14,12.6,7.7,42767.82
2011-03-15,11.8,6.8,42913.58
2011-03-16,13.1,4.1,43059.15
2011-03-17,14.7,5.8,43204.43
2011-03-18,19.2,3.8,43349.32
2011-03-19,21.6,3.9,43493.72
2011-03-20,21.2,5.8,43637.54
2011-03-21,16.6,9.3,43780.69
2011-03-22,16.4,6.2,43923.24
2011-03-23,17.6,3.6,44066.21
2011-03-24,20.2,10.2,44209.71
2011-03-25,18.0,10.3,44353.65
2011-03-26,19.3,8.7,44497.93
2011-03-27,15.6,8.9,44642.46
2011-03-28,17.2,9.2,44787.15
2011-03-29,16.9,10.4,44931.93
2011-03-30,19.3,10.3,45076.68
2011-03-31,22.5,6.7,45221.33
2011-04-01,23.7,10.9,45365.78
2011-04-02,25.1,13.5,45509.93
2011-04-03,17.2,12.3,45653.70
2011-04-04,22.7,10.3,45796.98
2011-04-05,26.2,10.2,45939.68
2011-04-06,28.0,12.3,46081.71
2011-04-07,27.3,10.2,46222.96
2011-04-08,26.3,11.8,46363.34
2011-04-09,25.1,12.0,46502.74
2011-04-10,23.9,13.7,46641.05
2011-04-11,24.4,12.7,46778.36
2011-04-12,22.2,11.3,46915.64
2011-04-13,25.9,9.9,47052.96
2011-04-14,27.1,11.9,47190.25
2011-04-15,25.7,12.1,47327.41
2011-04-16,22.8,13.1,47464.34
2011-04-17,21.8,11.4,47600.95
2011-04-18,18.5,11.0,47737.16
2011-04-19,18.7,11.6,47872.84
2011-04-20,20.3,12.3,48007.91
2011-04-21,17.9,11.8,48142.26
2011-04-22,15.3,9.5,48275.79
2011-04-23,16.6,9.1,48408.39
2011-04-24,18.7,9.1,48539.96
2011-04-25,21.0,7.8,48670.38
2011-04-26,22.1,8.7,48799.55
2011-04-27,23.4,9.7,48927.33
2011-04-28,23.7,9.9,49053.63
2011-04-29,16.1,11.8,49178.32
2011-04-30,16.8,11.3,49301.27
2011-05-01,20.8,8.2,49422.55
2011-05-02,17.5,11.4,49543.05
2011-05-03,20.7,12.0,49662.88
2011-05-04,21.2,10.5,49781.91
2011-05-05,23.8,10.4,49900.05
2011-05-06,22.5,12.2,50017.20
2011-05-07,18.2,13.5,50133.24
2011-05-08,24.9,8.1,50248.08
2011-05-09,25.9,10.6,50361.61
2011-05-10,25.2,13.0,50473.70
2011-05-11,22.5,12.3,50584.25
2011-05-12,25.7,13.1,50693.14
2011-05-13,24.4,14.7,50800.26
2011-05-14,28.3,13.7,50905.48
2011-05-15,24.4,14.6,51008.68
2011-05-16,23.1,15.2,51109.74
