latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.581722,-0.90908813,336.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,11.7,4.3,33200.80
2011-01-02,9.9,4.4,33245.76
2011-01-03,7.1,0.8,33295.20
2011-01-04,11.2,-0.9,33348.98
2011-01-05,11.2,5.2,33406.98
2011-01-06,13.8,5.7,33469.05
2011-01-07,13.8,6.4,33535.08
2011-01-08,15.7,4.8,33604.89
2011-01-09,11.2,5.3,33678.37
2011-01-10,12.3,1.2,33755.38
2011-01-11,15.0,6.7,33835.77
2011-01-12,15.3,8.3,33919.42
2011-01-13,16.6,5.6,34006.18
2011-01-14,15.2,1.9,34095.93
2011-01-15,13.6,1.7,34188.52
2011-01-16,13.3,1.5,34283.82
2011-01-17,13.5,0.8,34381.71
2011-01-18,11.0,1.3,34482.05
2011-01-19,9.7,4.6,34584.72
2011-01-20,10.5,1.7,34689.58
2011-01-21,4.4,-1.2,34796.73
2011-01-22,3.3,-2.4,34907.34
2011-01-23,3.3,-4.4,35021.41
2011-01-24,4.6,-3.2,35138.75
2011-01-25,6.3,-3.5,35259.16
2011-01-26,5.3,-4.3,35382.46
2011-01-27,6.5,-2.8,35508.45
2011-01-28,7.1,0.1,35636.96
2011-01-29,8.1,0.0,35767.78
2011-01-30,7.8,0.5,35900.75
2011-01-31,7.1,1.2,36035.69
2011-02-01,8.0,0.9,36172.43
2011-02-02,9.8,1.1,36310.79
2011-02-03,11.8,3.0,36450.62
2011-02-04,13.9,4.6,36591.75
2011-02-05,16.0,2.0,36734.00
2011-02-06,16.7,-0.3,36877.25
2011-02-07,15.9,-0.5,37021.32
2011-02-08,13.7,-0.0,37166.07
2011-02-09,14.5,-0.0,37311.35
2011-02-10,15.8,-1.0,37457.27
2011-02-11,15.1,1.4,37605.20
2011-02-12,14.9,0.1,37755.21
2011-02-13,15.7,0.8,37907.15
2011-02-14,12.0,4.8,38060.84
2011-02-15,10.6,3.8,38216.13
2011-02-16,11.4,3.5,38372.87
2011-02-17,11.5,1.7,38530.89
2011-02-18,14.5,4.6,38690.06
2011-02-19,12.5,5.2,38850.22
2011-02-20,14.1,5.1,39011.22
2011-02-21,12.9,5.5,39172.93
2011-02-22,12.6,10.4,39335.20
2011-02-23,14.5,8.7,39497.91
2011-02-24,15.1,7.1,39660.90
2011-02-25,18.1,5.5,39824.05
2011-02-26,16.7,8.7,39987.24
2011-02-27,10.5,4.7,40150.33
2011-02-28,9.8,3.4,40313.18
2011-03-01,10.5,1.9,40475.69
2011-03-02,11.1,3.3,40637.95
2011-03-03,7.2,1.3,40801.25
2011-03-04,10.8,0.9,40965.71
2011-03-05,12.1,4.3,41131.20
2011-03-06,13.7,-0.5,41297.61
2011-03-07,16.4,1.9,41464.80
2011-03-08,12.6,6.0,41632.68
2011-03-09,14.7,3.9,41801.11
2011-03-10,17.3,1.4,41969.99
2011-03-11,17.2,3.5,42139.20
2011-03-12,9.7,6.6,42308.62
2011-03-13,16.4,3.7,42478.15
2011-03-14,13.6,7.7,42647.67
2011-03-15,12.8,9.1,42817.07
2011-03-16,12.1,7.7,42986.24
2011-03-17,13.4,7.9,43155.07
2011-03-18,15.6,5.2,43323.44
2011-03-19,15.4,5.9,43491.25
2011-03-20,15.1,4.7,43658.38
2011-03-21,14.4,5.4,43824.71
2011-03-22,12.6,5.1,43990.37
2011-03-23,14.0,4.7,44156.52
2011-03-24,13.1,5.9,44323.29
2011-03-25,16.7,6.1,44490.56
2011-03-26,19.4,6.2,44658.25
2011-03-27,17.0,7.4,44826.24
2011-03-28,16.6,6.7,44994.43
2011-03-29,16.6,9.0,45162.73
2011-03-30,17.2,8.4,45331.02
2011-03-31,21.6,8.0,45499.20
2011-04-01,24.8,7.9,45667.17
2011-04-02,26.5,8.9,45834.82
2011-04-03,21.0,10.0,46002.04
2011-04-04,18.6,8.4,46168.72
2011-04-05,23.9,7.6,46334.75
2011-04-06,26.3,9.8,46500.02
2011-04-07,26.6,11.0,46664.42
2011-04-08,29.0,8.2,46827.83
2011-04-09,31.3,11.1,46990.13
2011-04-10,20.5,11.8,47151.20
2011-04-11,21.6,11.2,47311.12
2011-04-12,21.6,10.4,47471.04
2011-04-13,23.2,7.8,47631.06
2011-04-14,22.4,10.1,47791.07
2011-04-15,20.3,8.2,47950.96
2011-04-16,20.8,6.3,48110.64
2011-04-17,22.8,8.7,48269.98
2011-04-18,23.1,10.3,48428.88
2011-04-19,21.0,9.5,48587.23
2011-04-20,19.7,9.8,48744.89
2011-04-21,19.8,10.2,48901.77
2011-04-22,15.1,10.9,49057.73
2011-04-23,16.6,9.7,49212.67
2011-04-24,18.2,9.9,49366.44
2011-04-25,20.1,10.8,49518.91
2011-04-26,21.3,11.5,49669.97
2011-04-27,22.2,10.0,49819.47
2011-04-28,21.2,9.7,49967.28
2011-04-29,20.4,10.0,50113.24
2011-04-30,21.7,11.1,50257.24
2011-05-01,21.9,12.1,50399.31
2011-05-02,22.6,10.3,50540.54
2011-05-03,23.1,11.9,50681.01
2011-05-04,23.5,10.8,50820.61
2011-05-05,25.1,12.0,50959.22
2011-05-06,25.4,13.1,51096.71
2011-05-07,19.3,9.9,51232.97
2011-05-08,23.7,7.3,51367.86
2011-05-09,25.7,10.7,51501.26
2011-05-10,25.4,12.9,51633.03
2011-05-11,27.0,11.8,51763.04
2011-05-12,26.8,13.4,51891.15
2011-05-13,26.5,14.4,52017.23
2011-05-14,21.4,11.2,52141.11
2011-05-15,21.7,9.0,52262.67
2011-05-16,24.1,8.6,52381.76
2011-05-17,27.6,12.2,52498.22
2011-05-18,27.4,13.1,52611.89
2011-05-19,23.5,14.0,52722.63
2011-05-20,26.6,12.1,52830.29
2011-05-21,28.2,13.5,52934.84
2011-05-22,27.9,15.8,53037.19
2011-05-23,31.4,14.0,53137.39
2011-05-24,30.8,16.2,53235.32
2011-05-25,33.9,15.5,53330.90
2011-05-26,29.9,16.4,53424.02
2011-05-27,22.7,13.3,53514.57
2011-05-28,27.2,12.3,53602.44
2011-05-29,30.0,15.1,53687.54
2011-05-30,25.7,16.8,53769.74
2011-05-31,20.8,11.4,53848.95
2011-06-01,19.8,9.6,53925.05
2011-06-02,22.5,11.3,53997.94
2011-06-03,23.2,10.7,54067.50
2011-06-04,24.1,13.5,54133.62
2011-06-05,24.2,14.8,54196.20
2011-06-06,25.5,14.9,54255.13
2011-06-07,17.2,12.1,54310.29
2011-06-08,20.2,11.0,54361.59
2011-06-09,23.7,10.1,54408.90
2011-06-10,20.9,13.6,54452.21
2011-06-11,23.7,11.6,54491.86
2011-06-12,31.1,12.7,54527.92
2011-06-13,30.2,18.0,54560.34
2011-06-14,31.5,16.1,54589.12
2011-06-15,32.0,18.2,54614.25
2011-06-16,27.7,18.3,54635.71
2011-06-17,34.6,16.1,54653.47
