latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
43.550087,-6.7669067,234.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,11.8,6.0,32424.86
2011-01-02,9.9,7.2,32473.58
2011-01-03,10.2,5.3,32527.15
2011-01-04,12.7,8.4,32585.43
2011-01-05,14.5,11.0,32648.26
2011-01-06,14.4,12.4,32715.51
2011-01-07,13.2,11.0,32787.00
2011-01-08,13.7,7.2,32862.60
2011-01-09,8.9,3.3,32942.16
2011-01-10,11.7,3.5,33025.52
2011-01-11,13.0,11.3,33112.53
2011-01-12,14.9,10.9,33203.04
2011-01-13,14.4,7.3,33296.91
2011-01-14,14.3,5.7,33393.97
2011-01-15,14.4,6.5,33494.11
2011-01-16,14.4,6.7,33597.16
2011-01-17,14.3,8.7,33702.98
2011-01-18,9.5,8.2,33811.43
2011-01-19,11.8,8.1,33922.36
2011-01-20,10.0,5.9,34035.65
2011-01-21,6.8,4.0,34151.39
2011-01-22,5.4,3.1,34270.82
2011-01-23,6.3,2.7,34393.97
2011-01-24,6.8,3.3,34520.64
2011-01-25,8.2,3.2,34650.58
2011-01-26,7.9,3.5,34783.61
2011-01-27,8.3,2.8,34919.52
2011-01-28,8.0,4.4,35058.10
2011-01-29,6.5,4.2,35199.16
2011-01-30,6.8,3.4,35342.49
2011-01-31,6.1,3.1,35487.92
2011-02-01,7.8,3.2,35635.25
2011-02-02,10.3,1.7,35784.30
2011-02-03,12.9,3.0,35934.90
2011-02-04,13.5,3.5,36086.86
2011-02-05,13.8,2.2,36240.01
2011-02-06,16.1,2.2,36394.19
2011-02-07,14.7,4.9,36549.23
2011-02-08,15.6,3.7,36704.97
2011-02-09,15.6,6.8,36861.25
2011-02-10,16.0,9.3,37018.18
2011-02-11,15.5,8.7,37177.25
2011-02-12,12.1,6.9,37338.53
2011-02-13,9.5,5.4,37501.84
2011-02-14,8.8,3.6,37667.02
2011-02-15,9.4,6.1,37833.89
2011-02-16,9.3,4.1,38002.27
2011-02-17,9.2,4.1,38172.02
2011-02-18,11.8,6.8,38342.96
2011-02-19,13.6,7.2,38514.94
2011-02-20,12.5,6.3,38687.80
2011-02-21,13.3,8.8,38861.40
2011-02-22,12.4,9.9,39035.58
2011-02-23,14.9,8.7,39210.19
2011-02-24,14.5,4.6,39385.10
2011-02-25,16.8,3.9,39560.15
2011-02-26,12.5,8.5,39735.21
2011-02-27,9.5,6.8,39910.16
2011-02-28,8.7,5.2,40084.83
2011-03-01,7.7,4.6,40259.10
2011-03-02,8.2,5.4,40433.09
2011-03-03,7.9,4.4,40608.20
2011-03-04,8.7,1.5,40784.52
2011-03-05,12.6,2.5,40961.94
2011-03-06,12.8,3.2,41140.32
2011-03-07,13.0,5.4,41319.54
2011-03-08,14.4,4.1,41499.47
2011-03-09,11.2,6.7,41679.99
2011-03-10,13.4,7.3,41860.98
2011-03-11,14.5,6.7,42042.31
2011-03-12,13.8,8.7,42223.86
2011-03-13,9.3,6.9,42405.52
2011-03-14,12.0,5.3,42587.16
2011-03-15,11.4,7.0,42768.67
2011-03-16,10.1,7.0,42949.92
2011-03-17,11.3,7.8,43130.81
2011-03-18,13.0,3.5,43311.21
2011-03-19,13.2,4.6,43491.00
2011-03-20,13.0,6.3,43670.06
2011-03-21,12.5,5.3,43848.28
2011-03-22,13.0,5.0,44025.77
2011-03-23,14.5,5.7,44203.79
2011-03-24,16.3,5.6,44382.48
2011-03-25,16.4,7.8,44561.71
2011-03-26,15.9,8.3,44741.39
2011-03-27,12.8,8.9,44921.41
2011-03-28,12.5,8.6,45101.65
2011-03-29,13.8,8.6,45282.01
2011-03-30,16.4,10.7,45462.37
2011-03-31,19.6,11.2,45642.63
2011-04-01,24.0,10.4,45822.67
2011-04-02,14.3,10.0,46002.38
2011-04-03,12.7,7.6,46181.64
2011-04-04,14.1,6.1,46360.34
2011-04-05,19.2,5.4,46538.36
2011-04-06,25.3,9.1,46715.58
2011-04-07,22.5,9.7,46891.88
2011-04-08,24.8,11.1,47067.14
2011-04-09,20.2,12.1,47241.23
2011-04-10,15.0,11.1,47414.02
2011-04-11,14.0,10.5,47585.60
2011-04-12,14.3,10.0,47757.20
2011-04-13,18.4,8.2,47928.92
2011-04-14,14.1,8.6,48100.65
2011-04-15,13.7,7.3,48272.29
2011-04-16,15.4,8.1,48443.72
2011-04-17,18.5,8.4,48614.81
2011-04-18,21.0,9.2,48785.46
