latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
43.198593,-4.029846,427.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,11.5,3.6,32567.67
2011-01-02,7.0,3.5,32615.69
2011-01-03,6.8,1.5,32668.49
2011-01-04,11.3,2.1,32725.93
2011-01-05,12.5,6.8,32787.87
2011-01-06,16.0,12.0,32854.15
2011-01-07,14.5,11.3,32924.63
2011-01-08,14.0,8.8,32999.16
2011-01-09,7.7,2.9,33077.59
2011-01-10,10.2,1.1,33159.77
2011-01-11,10.4,5.6,33245.55
2011-01-12,15.1,5.3,33334.79
2011-01-13,14.2,4.1,33427.34
2011-01-14,13.3,3.3,33523.05
2011-01-15,13.6,3.1,33621.79
2011-01-16,13.3,3.0,33723.40
2011-01-17,13.6,5.5,33827.75
2011-01-18,9.4,7.2,33934.70
2011-01-19,8.4,6.4,34044.10
2011-01-20,7.2,1.3,34155.83
2011-01-21,3.2,-0.1,34269.98
2011-01-22,1.7,-1.2,34387.78
2011-01-23,2.8,-0.2,34509.25
2011-01-24,3.1,-1.1,34634.19
2011-01-25,4.7,0.3,34762.38
2011-01-26,5.8,0.7,34893.61
2011-01-27,8.4,0.7,35027.68
2011-01-28,5.5,-1.0,35164.40
2011-01-29,6.0,2.4,35303.57
2011-01-30,5.2,1.0,35445.00
2011-01-31,3.9,-0.2,35588.49
2011-02-01,4.7,0.4,35733.86
2011-02-02,7.6,0.7,35880.94
2011-02-03,11.4,0.0,36029.55
2011-02-04,12.1,-1.5,36179.52
2011-02-05,15.7,-1.4,36330.66
2011-02-06,17.5,-1.1,36482.82
2011-02-07,15.4,1.3,36635.85
2011-02-08,16.4,-0.1,36789.55
2011-02-09,15.3,4.3,36943.81
2011-02-10,15.6,4.5,37098.72
2011-02-11,15.0,3.5,37255.73
2011-02-12,9.5,2.3,37414.94
2011-02-13,8.8,2.4,37576.16
2011-02-14,9.5,0.1,37739.23
2011-02-15,10.2,1.8,37903.96
2011-02-16,10.3,0.7,38070.21
2011-02-17,8.3,-1.8,38237.80
2011-02-18,12.8,2.4,38406.58
2011-02-19,9.4,3.0,38576.39
2011-02-20,13.5,1.1,38747.07
2011-02-21,11.0,0.6,38918.48
2011-02-22,10.5,8.1,39090.48
2011-02-23,13.6,6.4,39262.90
2011-02-24,13.0,4.6,39435.62
2011-02-25,17.2,1.3,39608.49
2011-02-26,11.2,5.4,39781.38
2011-02-27,7.4,3.7,39954.14
2011-02-28,6.4,2.4,40126.64
2011-03-01,5.9,1.6,40298.76
2011-03-02,6.0,2.5,40470.60
2011-03-03,6.2,-0.5,40643.54
2011-03-04,7.7,-3.3,40817.68
2011-03-05,12.7,-0.0,40992.91
2011-03-06,12.9,-1.1,41169.10
2011-03-07,15.5,0.7,41346.12
2011-03-08,16.4,3.2,41523.84
2011-03-09,14.2,3.6,41702.14
2011-03-10,15.1,3.6,41880.91
2011-03-11,17.6,4.6,42060.02
2011-03-12,14.0,6.1,42239.35
2011-03-13,11.1,5.3,42418.78
2011-03-14,15.2,4.8,42598.20
2011-03-15,13.9,6.5,42777.49
2011-03-16,9.6,7.1,42956.53
2011-03-17,9.1,5.9,43135.21
2011-03-18,12.2,3.8,43313.40
2011-03-19,12.1,2.8,43491.00
2011-03-20,11.5,3.5,43667.88
2011-03-21,12.5,0.3,43843.91
2011-03-22,13.2,1.3,44019.23
2011-03-23,14.9,0.7,44195.08
2011-03-24,15.9,5.8,44371.58
2011-03-25,18.5,8.0,44548.62
2011-03-26,18.1,6.2,44726.11
2011-03-27,12.5,5.5,44903.92
2011-03-28,14.4,6.0,45081.95
2011-03-29,13.3,6.5,45260.10
2011-03-30,15.4,7.5,45438.25
2011-03-31,19.7,7.6,45616.29
2011-04-01,24.9,9.5,45794.12
2011-04-02,17.9,9.3,45971.61
2011-04-03,11.0,6.6,46148.66
2011-04-04,13.8,3.0,46325.16
2011-04-05,22.6,3.6,46500.98
2011-04-06,28.2,9.2,46676.01
2011-04-07,26.0,11.1,46850.13
2011-04-08,27.7,9.6,47023.21
2011-04-09,21.7,11.5,47195.13
2011-04-10,14.1,9.1,47365.77
2011-04-11,12.3,8.6,47535.21
2011-04-12,11.4,7.5,47704.67
2011-04-13,19.0,4.0,47874.24
2011-04-14,14.0,6.9,48043.82
2011-04-15,13.7,5.5,48213.30
2011-04-16,17.4,3.5,48382.57
2011-04-17,21.1,5.9,48551.50
2011-04-18,22.7,9.1,48719.99
2011-04-19,22.6,11.8,48887.91
2011-04-20,19.8,10.7,49055.14
2011-04-21,20.5,10.1,49221.55
2011-04-22,18.4,10.4,49387.02
2011-04-23,15.2,6.0,49551.41
2011-04-24,14.6,10.0,49714.59
2011-04-25,13.4,10.1,49876.43
2011-04-26,15.5,8.2,50036.79
2011-04-27,17.5,5.7,50195.51
2011-04-28,16.9,6.8,50352.47
2011-04-29,18.2,6.0,50507.50
2011-04-30,17.2,9.1,50660.46
2011-05-01,17.9,7.8,50811.40
2011-05-02,17.0,8.9,50961.47
2011-05-03,14.7,10.6,51110.77
2011-05-04,16.8,10.3,51259.16
2011-05-05,21.0,7.6,51406.52
2011-05-06,22.2,9.8,51552.73
2011-05-07,20.4,12.0,51697.65
2011-05-08,20.7,10.4,51841.14
2011-05-09,21.4,9.6,51983.08
2011-05-10,22.2,11.5,52123.31
2011-05-11,21.7,13.1,52261.68
2011-05-12,16.8,12.0,52398.07
2011-05-13,21.9,10.7,52532.31
2011-05-14,13.6,8.8,52664.26
2011-05-15,13.1,6.5,52793.75
2011-05-16,18.5,6.3,52920.62
2011-05-17,20.7,6.6,53044.72
2011-05-18,20.0,11.1,53165.88
2011-05-19,19.2,13.0,53283.94
2011-05-20,18.3,11.2,53398.72
2011-05-21,22.1,10.7,53510.24
2011-05-22,15.3,11.9,53619.40
2011-05-23,24.9,7.9,53726.30
2011-05-24,19.9,12.7,53830.80
2011-05-25,27.8,11.3,53932.80
2011-05-26,14.9,10.0,54032.20
2011-05-27,14.1,9.4,54128.88
2011-05-28,19.6,6.1,54222.71
2011-05-29,24.4,8.8,54313.59
2011-05-30,18.7,11.4,54401.40
2011-05-31,12.3,8.2,54486.02
2011-06-01,13.7,6.9,54567.34
2011-06-02,15.8,6.6,54645.23
2011-06-03,19.6,9.6,54719.58
2011-06-04,19.7,10.7,54790.27
2011-06-05,19.3,10.5,54857.17
2011-06-06,16.8,12.0,54920.18
2011-06-07,14.1,10.4,54979.17
2011-06-08,13.8,9.9,55034.04
2011-06-09,16.2,10.4,55084.65
2011-06-10,14.6,10.8,55130.97
2011-06-11,18.5,10.8,55173.40
2011-06-12,21.9,9.6,55211.97
2011-06-13,19.6,11.5,55246.67
2011-06-14,22.0,12.0,55277.47
2011-06-15,20.9,13.6,55304.36
2011-06-16,15.9,12.7,55327.32
2011-06-17,22.5,11.5,55346.33
2011-06-18,16.2,10.6,55361.39
2011-06-19,21.2,9.5,55372.47
2011-06-20,23.8,11.6,55379.58
2011-06-21,24.7,14.1,55382.70
2011-06-22,15.4,11.7,55381.82
2011-06-23,16.1,10.2,55376.96
2011-06-24,21.2,8.6,55368.10
2011-06-25,27.5,9.9,55355.25
2011-06-26,33.1,15.7,55338.41
2011-06-27,35.0,17.0,55317.58
2011-06-28,16.5,10.9,55292.77
2011-06-29,13.3,9.5,55264.01
2011-06-30,17.4,8.8,55231.21
2011-07-01,21.8,8.8,55194.07
2011-07-02,25.8,11.2,55152.61
2011-07-03,20.9,14.6,55106.95
2011-07-04,22.0,13.1,55057.16
2011-07-05,23.0,12.7,55003.38
2011-07-06,14.9,12.2,54945.70
2011-07-07,15.6,11.2,54884.24
2011-07-08,24.9,10.7,54819.10
2011-07-09,20.9,14.0,54750.38
2011-07-10,18.5,14.9,54678.21
2011-07-11,24.9,14.5,54602.69
2011-07-12,16.1,11.9,54523.92
2011-07-13,17.0,11.8,54442.02
2011-07-14,20.5,9.9,54357.09
2011-07-15,22.8,13.0,54269.25
2011-07-16,21.2,14.1,54178.61
2011-07-17,15.5,12.0,54085.26
2011-07-18,20.0,10.4,53989.31
2011-07-19,15.5,11.3,53890.88
2011-07-20,20.2,11.5,53789.89
2011-07-21,16.2,12.0,53685.45
2011-07-22,15.8,10.6,53577.58
2011-07-23,16.8,9.1,53466.43
2011-07-24,18.6,10.6,53352.17
2011-07-25,20.1,14.5,53234.96
2011-07-26,17.3,13.8,53114.96
2011-07-27,18.9,12.7,52992.33
2011-07-28,21.3,11.5,52867.22
2011-07-29,22.8,11.0,52739.80
2011-07-30,21.6,12.6,52610.20
2011-07-31,24.1,11.0,52478.57
2011-08-01,26.4,13.4,52345.07
2011-08-02,18.6,15.5,52209.83
2011-08-03,22.2,15.3,52072.99
2011-08-04,24.7,14.0,51934.69
2011-08-05,19.5,15.5,51795.06
2011-08-06,26.1,14.0,51654.23
2011-08-07,21.6,13.6,51512.33
2011-08-08,17.6,13.4,51369.48
2011-08-09,18.1,11.7,51225.61
2011-08-10,22.7,9.4,51079.59
2011-08-11,22.5,10.1,50931.38
2011-08-12,21.5,13.4,50781.12
2011-08-13,25.6,12.3,50628.98
2011-08-14,24.9,15.8,50475.08
2011-08-15,20.3,16.5,50319.59
2011-08-16,26.5,13.7,50162.62
2011-08-17,19.9,15.1,50004.34
2011-08-18,24.8,13.8,49844.86
2011-08-19,26.9,15.1,49684.32
2011-08-20,35.7,16.8,49522.84
2011-08-21,31.0,18.3,49360.56
2011-08-22,25.0,18.0,49197.59
2011-08-23,21.9,16.1,49034.05
2011-08-24,17.7,14.6,48870.08
2011-08-25,23.6,13.3,48705.76
2011-08-26,18.4,12.9,48541.23
2011-08-27,18.4,11.9,48376.59
2011-08-28,22.2,9.4,48211.94
2011-08-29,19.2,12.6,48047.21
2011-08-30,23.1,11.8,47881.22
2011-08-31,25.4,16.0,47713.91
2011-09-01,26.2,17.0,47545.40
2011-09-02,26.4,14.8,47375.80
2011-09-03,20.9,15.5,47205.23
2011-09-04,16.9,13.7,47033.82
2011-09-05,15.9,12.3,46861.67
2011-09-06,23.6,8.8,46688.89
2011-09-07,22.3,13.1,46515.60
2011-09-08,24.2,13.4,46341.89
2011-09-09,31.3,13.8,46167.89
2011-09-10,28.6,14.6,45993.69
2011-09-11,22.5,15.3,45819.40
2011-09-12,25.3,13.2,45645.11
2011-09-13,20.8,13.5,45470.94
2011-09-14,21.1,14.3,45296.98
2011-09-15,29.7,14.8,45123.34
2011-09-16,19.2,15.2,44950.10
2011-09-17,16.3,13.1,44777.38
2011-09-18,14.3,11.2,44605.06
2011-09-19,16.9,9.7,44431.97
2011-09-20,24.0,7.4,44258.01
2011-09-21,21.2,10.4,44083.29
2011-09-22,20.2,13.8,43907.93
2011-09-23,24.1,13.1,43732.02
2011-09-24,18.9,14.4,43555.68
2011-09-25,24.3,11.6,43379.02
2011-09-26,25.0,11.1,43202.14
2011-09-27,26.8,12.7,43025.16
2011-09-28,26.1,15.0,42848.18
2011-09-29,28.9,12.6,42671.31
2011-09-30,28.8,15.3,42494.65
2011-10-01,28.5,14.7,42318.33
2011-10-02,28.7,15.0,42142.44
2011-10-03,26.4,12.9,41967.10
2011-10-04,24.4,13.9,41792.41
2011-10-05,23.6,11.3,41618.50
2011-10-06,19.9,13.6,41445.46
2011-10-07,13.7,10.9,41273.43
2011-10-08,13.5,10.4,41102.28
2011-10-09,16.4,9.5,40930.74
2011-10-10,24.0,8.9,40758.70
2011-10-11,24.1,8.9,40586.29
2011-10-12,22.8,8.6,40413.61
2011-10-13,21.2,10.3,40240.80
2011-10-14,22.1,6.9,40068.00
2011-10-15,23.0,6.4,39895.32
2011-10-16,22.0,7.0,39722.89
2011-10-17,25.2,7.8,39550.84
2011-10-18,18.7,9.8,39379.30
2011-10-19,13.1,9.8,39208.42
2011-10-20,12.2,8.0,39038.32
2011-10-21,16.9,4.7,38869.15
2011-10-22,21.9,5.8,38701.05
2011-10-23,20.8,12.3,38534.16
2011-10-24,16.5,7.1,38368.63
2011-10-25,14.4,7.9,38204.60
2011-10-26,15.6,7.7,38042.25
2011-10-27,17.0,10.3,37881.71
2011-10-28,12.1,8.6,37722.90
2011-10-29,17.1,4.6,37564.41
2011-10-30,19.1,3.7,37406.13
2011-10-31,20.8,8.4,37248.21
2011-11-01,17.9,8.8,37090.79
2011-11-02,19.5,15.0,36934.05
2011-11-03,16.7,10.6,36778.13
2011-11-04,14.8,8.6,36623.19
2011-11-05,9.8,8.0,36469.40
2011-11-06,10.3,7.9,36316.93
2011-11-07,11.6,8.8,36165.94
2011-11-08,17.3,6.7,36016.62
2011-11-09,17.6,9.1,35869.14
2011-11-10,17.0,8.7,35723.68
2011-11-11,19.5,12.5,35580.44
2011-11-12,21.8,10.9,35439.59
2011-11-13,17.6,13.6,35301.34
2011-11-14,17.3,11.8,35165.87
2011-11-15,14.0,8.1,35033.40
2011-11-16,14.6,6.0,34904.12
2011-11-17,15.5,5.7,34778.00
2011-11-18,15.7,6.8,34653.68
2011-11-19,15.8,8.0,34531.07
2011-11-20,16.9,6.5,34410.33
2011-11-21,16.1,5.2,34291.60
2011-11-22,10.5,7.6,34175.05
2011-11-23,13.2,9.0,34060.83
2011-11-24,15.5,4.7,33949.11
2011-11-25,13.3,2.8,33840.06
2011-11-26,13.2,4.4,33733.84
2011-11-27,11.9,1.4,33630.62
2011-11-28,14.7,2.3,33530.57
2011-11-29,13.7,3.9,33433.87
2011-11-30,14.8,4.3,33340.69
2011-12-01,14.0,5.9,33251.21
2011-12-02,8.9,5.2,33165.61
2011-12-03,10.7,3.8,33084.06
2011-12-04,12.4,4.7,33006.75
2011-12-05,9.4,8.6,32933.86
2011-12-06,10.7,5.1,32865.56
2011-12-07,12.7,2.8,32801.88
2011-12-08,13.3,3.4,32742.04
2011-12-09,11.0,5.5,32685.97
2011-12-10,11.0,4.9,32633.70
2011-12-11,11.4,3.8,32585.32
2011-12-12,11.5,4.8,32540.89
2011-12-13,12.2,6.8,32500.45
2011-12-14,10.7,3.7,32464.08
2011-12-15,13.0,2.2,32431.82
2011-12-16,12.8,4.5,32403.74
2011-12-17,6.3,3.5,32379.88
2011-12-18,6.0,1.6,32360.30
2011-12-19,8.6,0.3,32345.05
2011-12-20,10.7,2.1,32334.16
2011-12-21,11.0,6.7,32327.70
2011-12-22,10.8,2.1,32325.70
2011-12-23,11.2,1.1,32328.19
2011-12-24,7.4,1.9,32335.22
2011-12-25,8.8,-2.3,32346.83
2011-12-26,12.5,-0.6,32363.04
2011-12-27,12.5,-1.1,32383.93
2011-12-28,9.0,-0.6,32409.70
2011-12-29,6.4,3.0,32440.29
2011-12-30,8.7,1.4,32475.61
2011-12-31,11.8,2.0,32515.54
2012-01-01,11.9,3.2,32559.96
2012-01-02,9.8,3.3,32608.78
2012-01-03,12.2,2.2,32661.87
2012-01-04,9.9,4.2,32719.13
2012-01-05,11.7,0.8,32780.43
2012-01-06,9.7,8.0,32845.66
2012-01-07,10.2,6.0,32914.70
2012-01-08,9.5,4.1,32987.44
2012-01-09,9.4,1.6,33063.76
2012-01-10,11.3,-1.3,33143.54
2012-01-11,10.2,-2.0,33226.67
2012-01-12,8.9,-0.6,33313.03
2012-01-13,7.9,-0.4,33402.50
2012-01-14,8.6,1.4,33494.96
2012-01-15,9.0,0.1,33590.31
2012-01-16,5.7,2.9,33688.64
2012-01-17,9.2,0.7,33791.02
2012-01-18,9.0,-1.4,33897.47
2012-01-19,12.7,6.0,34007.76
2012-01-20,10.0,5.9,34121.70
2012-01-21,10.3,7.2,34239.09
2012-01-22,9.4,6.2,34359.71
2012-01-23,9.1,6.0,34483.39
2012-01-24,9.6,2.9,34609.91
2012-01-25,12.7,-1.0,34739.09
2012-01-26,6.8,-0.5,34870.73
2012-01-27,6.1,2.2,35004.67
2012-01-28,6.3,1.2,35140.70
2012-01-29,6.1,2.4,35278.66
2012-01-30,9.5,-1.0,35418.38
2012-01-31,9.0,0.4,35559.66
2012-02-01,7.1,-0.2,35702.37
2012-02-02,0.5,-1.5,35846.32
2012-02-03,0.5,-2.5,35991.34
2012-02-04,2.0,-4.5,36137.30
2012-02-05,6.6,-0.3,36284.29
2012-02-06,6.7,3.2,36433.76
2012-02-07,3.7,-0.9,36585.78
2012-02-08,0.0,-1.5,36740.16
2012-02-09,1.0,-2.2,36896.71
2012-02-10,2.3,-2.0,37055.25
2012-02-11,1.1,-2.4,37215.60
2012-02-12,1.4,-4.5,37377.59
2012-02-13,3.8,-2.2,37541.03
2012-02-14,5.1,2.4,37705.77
2012-02-15,6.2,2.3,37871.64
2012-02-16,6.3,4.1,38038.48
2012-02-17,7.0,0.7,38206.14
2012-02-18,9.7,-2.5,38374.45
2012-02-19,6.4,2.0,38543.26
2012-02-20,7.0,-2.2,38712.42
2012-02-21,9.9,-2.2,38881.80
2012-02-22,11.1,-2.0,39051.24
2012-02-23,13.5,-0.0,39220.59
2012-02-24,13.7,1.0,39389.73
2012-02-25,12.0,1.0,39558.77
2012-02-26,11.6,5.8,39729.11
2012-02-27,12.9,2.8,39900.86
2012-02-28,15.9,-1.2,40073.88
2012-02-29,17.1,1.9,40248.04
2012-03-01,16.3,1.3,40423.20
2012-03-02,16.4,1.6,40599.23
2012-03-03,14.6,3.0,40775.99
2012-03-04,13.3,4.2,40953.37
2012-03-05,8.1,1.9,41131.22
2012-03-06,9.0,1.2,41309.44
2012-03-07,11.6,-0.7,41487.89
2012-03-08,8.4,4.8,41666.45
2012-03-09,11.8,0.6,41844.99
2012-03-10,12.9,0.4,42023.40
2012-03-11,10.6,2.6,42201.55
2012-03-12,14.5,2.2,42379.34
2012-03-13,19.4,3.3,42556.62
2012-03-14,21.7,3.1,42733.29
2012-03-15,21.8,4.1,42909.23
2012-03-16,16.4,6.5,43084.55
2012-03-17,15.1,5.0,43260.52
2012-03-18,9.7,1.3,43437.27
2012-03-19,7.9,3.0,43614.70
2012-03-20,8.7,2.7,43792.68
2012-03-21,8.7,3.1,43971.10
2012-03-22,14.2,1.8,44149.86
2012-03-23,19.1,3.7,44328.86
2012-03-24,21.2,6.7,44507.98
2012-03-25,20.2,8.8,44687.11
2012-03-26,21.4,6.7,44866.13
2012-03-27,21.9,8.1,45044.95
2012-03-28,21.0,6.8,45223.43
2012-03-29,19.3,5.0,45401.48
2012-03-30,18.5,4.5,45578.99
2012-03-31,16.2,7.6,45755.82
2012-04-01,14.8,4.6,45931.88
2012-04-02,15.7,4.9,46107.03
2012-04-03,8.1,5.8,46281.16
2012-04-04,9.4,4.7,46454.14
2012-04-05,7.3,4.1,46626.08
2012-04-06,12.2,6.0,46798.18
2012-04-07,8.3,4.9,46970.57
2012-04-08,10.4,3.7,47143.14
2012-04-09,18.1,4.0,47315.76
2012-04-10,10.7,5.3,47488.34
2012-04-11,13.2,3.0,47660.77
2012-04-12,9.9,4.4,47832.93
2012-04-13,9.9,4.0,48004.69
2012-04-14,7.6,4.3,48175.95
2012-04-15,8.1,3.5,48346.59
2012-04-16,8.1,3.6,48516.48
2012-04-17,15.3,3.2,48685.50
2012-04-18,10.6,3.6,48853.52
2012-04-19,10.3,4.7,49020.41
2012-04-20,11.9,5.7,49186.04
2012-04-21,13.1,6.0,49350.27
2012-04-22,10.6,5.7,49512.97
2012-04-23,12.0,5.4,49673.98
2012-04-24,12.1,3.7,49833.18
2012-04-25,14.8,8.7,49990.61
2012-04-26,14.7,7.5,50147.46
2012-04-27,12.3,6.1,50303.82
2012-04-28,9.0,5.4,50459.57
2012-04-29,12.5,3.3,50614.60
2012-04-30,12.0,4.6,50768.77
2012-05-01,16.0,3.4,50921.95
2012-05-02,19.4,5.5,51074.02
2012-05-03,18.1,7.9,51224.83
2012-05-04,15.6,8.2,51374.25
2012-05-05,13.8,4.9,51522.15
2012-05-06,13.6,4.2,51668.37
2012-05-07,18.1,4.9,51812.76
2012-05-08,21.2,13.0,51955.19
2012-05-09,25.5,11.7,52095.49
2012-05-10,29.5,14.3,52233.51
2012-05-11,24.1,12.3,52369.08
2012-05-12,15.0,11.3,52502.05
2012-05-13,14.6,9.7,52632.25
2012-05-14,16.6,7.6,52759.51
2012-05-15,12.2,8.0,52883.85
2012-05-16,20.6,6.1,53006.28
2012-05-17,21.7,12.0,53126.88
2012-05-18,11.8,9.0,53245.52
2012-05-19,10.4,8.0,53362.09
2012-05-20,11.3,7.3,53476.45
2012-05-21,11.2,7.3,53588.50
2012-05-22,15.5,9.8,53698.09
2012-05-23,21.9,6.3,53805.10
2012-05-24,22.8,7.4,53909.40
2012-05-25,28.2,11.9,54010.86
2012-05-26,20.5,11.0,54109.34
2012-05-27,20.2,7.3,54204.71
2012-05-28,22.3,9.7,54296.83
2012-05-29,22.5,10.3,54385.57
2012-05-30,20.6,9.8,54470.79
2012-05-31,23.5,10.8,54552.34
2012-06-01,30.0,12.3,54630.10
2012-06-02,23.1,13.8,54703.91
2012-06-03,16.5,13.0,54773.65
2012-06-04,19.2,12.4,54839.27
2012-06-05,24.1,11.0,54901.34
2012-06-06,21.5,13.6,54959.92
2012-06-07,20.2,12.4,55014.94
2012-06-08,15.0,11.9,55066.35
2012-06-09,19.9,10.5,55114.11
2012-06-10,19.9,13.1,55158.17
2012-06-11,17.7,11.3,55198.48
2012-06-12,15.6,10.7,55234.99
2012-06-13,14.7,9.5,55267.65
2012-06-14,25.8,8.4,55296.43
2012-06-15,27.2,10.0,55321.29
2012-06-16,20.2,12.2,55342.17
2012-06-17,25.7,10.8,55359.05
2012-06-18,15.3,12.4,55371.89
2012-06-19,18.1,11.8,55380.65
2012-06-20,25.3,14.3,55385.31
2012-06-21,18.0,11.9,55385.82
2012-06-22,16.5,10.7,55382.18
2012-06-23,21.6,10.4,55374.35
2012-06-24,23.2,11.2,55362.27
2012-06-25,24.1,11.6,55345.82
2012-06-26,26.8,13.9,55325.01
2012-06-27,33.9,16.4,55299.93
2012-06-28,21.7,14.5,55270.65
2012-06-29,18.2,13.5,55237.25
2012-06-30,15.2,10.7,55199.81
2012-07-01,15.9,8.7,55158.41
2012-07-02,21.5,9.4,55113.12
2012-07-03,22.8,10.6,55064.04
2012-07-04,18.9,13.1,55011.24
2012-07-05,16.6,12.1,54954.81
2012-07-06,17.8,13.1,54894.84
2012-07-07,23.0,10.5,54831.41
2012-07-08,18.8,13.6,54764.62
2012-07-09,17.8,13.4,54694.54
2012-07-10,15.9,12.7,54621.26
