latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.40246,-2.6105042,711.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,10.0,4.1,33998.66
2011-01-02,10.3,2.2,34039.83
2011-01-03,8.4,-1.1,34085.11
2011-01-04,7.8,1.1,34134.38
2011-01-05,11.0,3.1,34187.51
2011-01-06,13.4,8.4,34244.39
2011-01-07,10.6,7.9,34304.89
2011-01-08,13.3,6.4,34368.88
2011-01-09,9.9,6.1,34436.23
2011-01-10,8.3,5.5,34506.84
2011-01-11,11.3,6.2,34580.55
2011-01-12,14.4,5.6,34657.27
2011-01-13,13.7,3.5,34736.86
2011-01-14,13.7,2.3,34819.19
2011-01-15,14.1,0.7,34904.16
2011-01-16,13.8,0.9,34991.62
2011-01-17,10.6,2.2,35081.48
2011-01-18,12.0,-0.0,35173.61
2011-01-19,10.3,3.0,35267.89
2011-01-20,9.9,0.1,35364.21
2011-01-21,5.3,-3.7,35462.66
2011-01-22,4.1,-5.4,35564.29
2011-01-23,3.5,-3.2,35669.12
2011-01-24,4.9,-1.7,35776.99
2011-01-25,6.7,-2.4,35887.71
2011-01-26,6.9,-0.3,36001.09
2011-01-27,4.1,1.4,36116.99
2011-01-28,6.9,1.5,36235.21
2011-01-29,6.3,1.4,36355.60
2011-01-30,6.3,-0.2,36478.00
2011-01-31,6.2,-2.0,36602.22
2011-02-01,7.7,-2.9,36728.13
2011-02-02,9.9,-0.9,36855.56
2011-02-03,10.8,-2.5,36984.37
2011-02-04,12.9,-1.6,37114.40
2011-02-05,14.3,0.3,37245.50
2011-02-06,15.6,0.2,37377.53
2011-02-07,14.5,-1.3,37510.36
2011-02-08,12.9,-1.0,37643.83
2011-02-09,12.1,0.7,37777.82
2011-02-10,14.2,-1.8,37912.42
2011-02-11,13.1,-0.7,38048.89
2011-02-12,12.8,-0.1,38187.32
2011-02-13,12.8,-0.6,38327.54
2011-02-14,7.9,1.6,38469.41
2011-02-15,6.8,4.4,38612.78
2011-02-16,7.5,1.9,38757.51
2011-02-17,8.4,2.3,38903.45
2011-02-18,10.0,1.3,39050.46
2011-02-19,10.4,3.2,39198.42
2011-02-20,12.1,6.8,39347.18
2011-02-21,11.7,5.4,39496.61
2011-02-22,14.2,8.2,39646.58
2011-02-23,15.8,4.3,39796.97
2011-02-24,16.8,3.5,39947.65
2011-02-25,16.4,2.6,40098.50
2011-02-26,18.2,3.2,40249.39
2011-02-27,11.1,3.5,40400.21
2011-02-28,8.3,-0.5,40550.83
2011-03-01,9.3,-0.4,40701.14
2011-03-02,9.1,-0.8,40851.23
2011-03-03,7.6,-2.1,41002.31
2011-03-04,7.7,0.7,41154.47
2011-03-05,9.7,3.1,41307.60
2011-03-06,13.1,1.3,41461.58
2011-03-07,14.0,2.5,41616.31
2011-03-08,10.9,4.3,41771.68
2011-03-09,10.2,4.4,41927.57
2011-03-10,13.6,2.8,42083.89
2011-03-11,8.9,4.1,42240.51
2011-03-12,12.8,5.3,42397.35
2011-03-13,13.3,6.4,42554.28
2011-03-14,11.1,3.3,42711.21
2011-03-15,11.3,5.3,42868.04
2011-03-16,8.0,3.4,43024.66
2011-03-17,13.9,5.7,43180.96
2011-03-18,16.2,1.8,43336.85
2011-03-19,17.9,2.7,43492.21
2011-03-20,17.4,2.3,43646.95
2011-03-21,13.9,5.2,43800.95
2011-03-22,11.4,3.9,43954.32
2011-03-23,9.3,4.1,44108.14
2011-03-24,10.6,6.0,44262.54
2011-03-25,16.2,6.1,44417.40
2011-03-26,17.1,5.2,44572.64
2011-03-27,12.5,8.4,44728.15
2011-03-28,13.5,5.0,44883.84
2011-03-29,15.1,6.0,45039.62
2011-03-30,15.9,5.9,45195.39
2011-03-31,21.0,6.7,45351.05
2011-04-01,23.5,8.6,45506.50
