latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.370823,2.0689654,20.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,13.2,8.4,33280.67
2011-01-02,12.7,8.9,33325.24
2011-01-03,9.6,7.5,33374.26
2011-01-04,9.8,7.0,33427.59
2011-01-05,11.7,6.4,33485.10
2011-01-06,14.9,7.4,33546.65
2011-01-07,15.3,7.9,33612.11
2011-01-08,16.8,8.7,33681.34
2011-01-09,16.4,8.2,33754.20
2011-01-10,13.6,7.6,33830.56
2011-01-11,15.9,6.2,33910.28
2011-01-12,15.1,7.0,33993.22
2011-01-13,16.1,7.9,34079.27
2011-01-14,17.1,6.5,34168.26
2011-01-15,16.6,6.8,34260.08
2011-01-16,14.6,5.9,34354.60
2011-01-17,14.0,6.1,34451.68
2011-01-18,14.6,6.8,34551.19
2011-01-19,13.8,7.9,34653.02
2011-01-20,11.3,6.2,34757.02
2011-01-21,9.1,2.3,34863.29
2011-01-22,7.6,0.1,34972.99
2011-01-23,7.9,0.1,35086.13
2011-01-24,9.1,0.1,35202.52
2011-01-25,10.0,-0.0,35321.96
2011-01-26,9.3,0.8,35444.26
2011-01-27,11.0,2.7,35569.24
2011-01-28,11.3,8.3,35696.71
2011-01-29,12.3,5.9,35826.48
2011-01-30,10.1,4.1,35958.39
2011-01-31,11.8,5.9,36092.26
2011-02-01,12.1,4.5,36227.91
2011-02-02,15.0,4.4,36365.18
2011-02-03,14.9,3.8,36503.90
2011-02-04,15.4,5.7,36643.91
2011-02-05,16.9,4.7,36785.05
2011-02-06,17.3,4.9,36927.18
2011-02-07,14.3,5.2,37070.12
2011-02-08,12.6,7.0,37213.73
2011-02-09,13.7,4.8,37357.89
2011-02-10,13.8,4.6,37502.67
2011-02-11,13.7,5.9,37649.45
2011-02-12,13.8,5.8,37798.30
2011-02-13,13.9,5.6,37949.06
2011-02-14,11.8,7.3,38101.57
2011-02-15,11.5,7.2,38255.68
2011-02-16,14.7,7.9,38411.21
2011-02-17,11.9,6.5,38568.03
2011-02-18,16.8,6.4,38725.98
2011-02-19,16.3,5.5,38884.92
2011-02-20,14.1,9.4,39044.70
2011-02-21,15.8,8.4,39205.18
2011-02-22,15.7,8.3,39366.23
2011-02-23,15.8,8.2,39527.70
2011-02-24,15.6,10.4,39689.46
2011-02-25,17.8,9.4,39851.39
2011-02-26,15.2,9.0,40013.35
2011-02-27,13.5,7.2,40175.21
2011-02-28,12.4,6.7,40336.85
2011-03-01,14.4,4.9,40498.13
2011-03-02,12.1,5.6,40659.18
2011-03-03,8.8,6.6,40821.26
2011-03-04,11.8,7.9,40984.49
2011-03-05,14.2,6.8,41148.75
2011-03-06,15.8,5.9,41313.92
2011-03-07,15.6,5.5,41479.88
2011-03-08,12.8,10.0,41646.50
2011-03-09,13.8,8.5,41813.69
2011-03-10,14.3,6.3,41981.31
2011-03-11,13.9,6.0,42149.27
2011-03-12,13.4,12.1,42317.43
2011-03-13,17.6,10.0,42485.71
2011-03-14,14.3,10.7,42653.97
2011-03-15,14.4,11.8,42822.11
2011-03-16,14.4,10.2,42990.04
2011-03-17,19.5,9.6,43157.61
2011-03-18,18.7,8.9,43324.74
2011-03-19,17.3,8.8,43491.31
2011-03-20,15.8,10.7,43657.20
2011-03-21,15.0,10.5,43822.31
2011-03-22,13.7,9.1,43986.74
2011-03-23,15.9,8.8,44151.66
2011-03-24,15.8,7.8,44317.20
2011-03-25,15.9,8.0,44483.24
2011-03-26,16.4,9.7,44649.68
2011-03-27,18.4,12.3,44816.43
2011-03-28,17.4,9.8,44983.38
2011-03-29,17.2,10.5,45150.43
2011-03-30,16.5,9.9,45317.47
2011-03-31,19.2,11.0,45484.40
2011-04-01,20.3,11.3,45651.12
2011-04-02,19.5,11.6,45817.52
2011-04-03,19.3,12.5,45983.50
2011-04-04,19.9,13.5,46148.93
2011-04-05,20.0,13.3,46313.73
2011-04-06,20.4,11.3,46477.77
2011-04-07,20.6,11.5,46640.93
2011-04-08,24.1,11.5,46803.12
2011-04-09,22.1,12.5,46964.20
2011-04-10,22.7,14.7,47124.05
2011-04-11,21.9,13.9,47282.78
2011-04-12,21.0,13.1,47441.50
2011-04-13,18.2,13.4,47600.30
2011-04-14,17.4,10.5,47759.10
2011-04-15,17.6,12.6,47917.79
2011-04-16,17.6,11.0,48076.24
2011-04-17,18.8,9.0,48234.38
2011-04-18,18.4,10.2,48392.07
2011-04-19,17.0,9.0,48549.20
2011-04-20,17.7,11.4,48705.66
2011-04-21,18.5,13.4,48861.34
2011-04-22,16.3,14.5,49016.10
2011-04-23,18.2,14.3,49169.84
2011-04-24,19.2,14.5,49322.42
2011-04-25,19.7,14.8,49473.72
2011-04-26,22.1,14.3,49623.61
2011-04-27,20.9,13.2,49771.94
2011-04-28,20.1,13.4,49918.59
2011-04-29,18.5,12.9,50063.42
2011-04-30,20.2,12.5,50206.29
2011-05-01,19.6,12.5,50347.25
2011-05-02,19.1,13.2,50487.36
2011-05-03,21.7,12.2,50626.72
2011-05-04,19.9,12.3,50765.21
2011-05-05,21.1,13.8,50902.72
2011-05-06,20.9,14.6,51039.12
2011-05-07,19.5,16.5,51174.29
2011-05-08,21.9,16.3,51308.10
2011-05-09,21.5,15.3,51440.43
2011-05-10,21.8,16.5,51571.14
2011-05-11,21.7,14.2,51700.09
2011-05-12,22.5,14.9,51827.17
2011-05-13,23.8,16.4,51952.22
2011-05-14,23.7,15.2,52075.10
2011-05-15,21.4,15.0,52195.66
2011-05-16,20.3,14.3,52313.77
2011-05-17,22.4,13.9,52429.27
2011-05-18,22.5,13.6,52542.01
2011-05-19,21.5,15.6,52651.84
2011-05-20,22.5,13.5,52758.59
2011-05-21,23.1,13.8,52862.29
2011-05-22,24.6,14.7,52963.78
2011-05-23,25.5,15.6,53063.14
2011-05-24,26.8,16.9,53160.25
2011-05-25,25.0,17.0,53255.03
2011-05-26,25.0,16.8,53347.36
2011-05-27,23.0,18.6,53437.15
2011-05-28,22.7,17.5,53524.28
2011-05-29,23.5,16.3,53608.65
2011-05-30,23.2,17.4,53690.16
2011-05-31,21.0,17.2,53768.69
2011-06-01,20.0,14.4,53844.14
2011-06-02,17.9,13.6,53916.40
2011-06-03,19.7,14.4,53985.37
2011-06-04,19.5,15.7,54050.92
2011-06-05,20.5,14.6,54112.96
2011-06-06,21.9,15.4,54171.38
2011-06-07,22.1,17.1,54226.07
2011-06-08,18.8,17.1,54276.92
2011-06-09,20.9,16.9,54323.82
2011-06-10,20.8,17.8,54366.76
2011-06-11,21.1,17.3,54406.07
2011-06-12,22.9,17.8,54441.80
2011-06-13,23.6,18.8,54473.95
2011-06-14,26.0,18.1,54502.48
2011-06-15,26.5,18.2,54527.39
2011-06-16,25.4,19.1,54548.65
2011-06-17,24.7,19.6,54566.26
2011-06-18,24.3,19.5,54580.20
2011-06-19,22.2,17.4,54590.47
2011-06-20,24.8,18.9,54597.05
2011-06-21,25.2,18.9,54599.94
2011-06-22,25.9,19.4,54599.13
2011-06-23,25.0,19.6,54594.63
2011-06-24,23.9,19.1,54586.42
2011-06-25,25.8,19.2,54574.52
2011-06-26,27.1,19.5,54558.92
2011-06-27,26.5,21.0,54539.63
2011-06-28,28.0,19.0,54516.66
2011-06-29,28.4,22.3,54490.01
2011-06-30,25.3,21.1,54459.62
2011-07-01,26.3,19.9,54425.22
2011-07-02,26.5,20.8,54386.81
2011-07-03,25.7,21.0,54344.49
2011-07-04,25.9,21.8,54298.36
2011-07-05,27.9,19.9,54248.51
2011-07-06,26.4,20.4,54195.05
2011-07-07,27.0,20.7,54138.06
2011-07-08,26.6,21.4,54077.66
2011-07-09,27.3,20.6,54013.94
2011-07-10,27.1,20.7,53947.00
2011-07-11,28.1,20.8,53876.94
2011-07-12,26.3,21.7,53803.86
2011-07-13,27.1,22.1,53727.86
2011-07-14,22.6,20.5,53649.04
2011-07-15,25.4,20.7,53567.50
2011-07-16,26.9,21.1,53483.33
2011-07-17,27.6,19.6,53396.64
2011-07-18,23.0,18.7,53307.52
2011-07-19,26.6,19.8,53216.08
2011-07-20,22.8,17.6,53122.23
2011-07-21,24.9,19.8,53025.18
2011-07-22,22.8,20.1,52924.90
2011-07-23,24.7,19.4,52821.55
2011-07-24,21.9,19.8,52715.30
2011-07-25,25.8,18.4,52606.27
2011-07-26,24.4,21.4,52494.62
2011-07-27,24.2,20.9,52380.51
2011-07-28,26.2,20.4,52264.06
2011-07-29,25.1,20.3,52145.44
2011-07-30,25.4,21.2,52024.75
2011-07-31,25.5,21.4,51902.16
2011-08-01,26.1,20.1,51777.79
2011-08-02,26.8,21.3,51651.77
2011-08-03,27.5,20.8,51524.24
2011-08-04,28.1,21.2,51395.32
2011-08-05,27.9,21.3,51265.12
2011-08-06,27.5,22.2,51133.79
2011-08-07,25.8,21.3,51001.43
2011-08-08,25.2,20.7,50868.16
2011-08-09,24.0,19.5,50733.90
2011-08-10,25.4,18.7,50597.62
2011-08-11,26.3,18.5,50459.27
2011-08-12,27.5,19.4,50318.97
2011-08-13,28.1,20.6,50176.88
2011-08-14,28.5,21.5,50033.14
2011-08-15,28.2,21.3,49887.87
2011-08-16,29.5,21.7,49741.20
2011-08-17,29.1,21.3,49593.27
2011-08-18,28.9,21.5,49444.20
2011-08-19,30.1,21.6,49294.11
2011-08-20,30.9,20.9,49143.13
2011-08-21,31.1,20.5,48991.36
2011-08-22,31.2,21.6,48838.93
2011-08-23,29.4,21.1,48685.94
2011-08-24,28.6,23.8,48532.51
2011-08-25,29.1,23.6,48378.75
2011-08-26,29.5,21.1,48224.75
2011-08-27,25.6,18.8,48070.64
2011-08-28,27.0,19.6,47916.51
2011-08-29,27.2,20.2,47762.27
2011-08-30,26.8,21.6,47606.84
2011-08-31,28.0,22.0,47450.15
2011-09-01,28.1,22.6,47292.32
2011-09-02,29.2,22.3,47133.45
2011-09-03,27.4,22.2,46973.66
2011-09-04,28.4,21.9,46813.05
2011-09-05,25.5,22.6,46651.75
2011-09-06,27.0,20.9,46489.83
2011-09-07,27.8,19.2,46327.42
2011-09-08,28.0,21.1,46164.62
2011-09-09,28.4,21.7,46001.52
2011-09-10,28.9,20.5,45838.21
2011-09-11,28.3,20.3,45674.82
2011-09-12,27.8,21.9,45511.43
2011-09-13,27.9,20.3,45348.12
2011-09-14,29.4,21.2,45185.01
2011-09-15,27.6,20.9,45022.18
2011-09-16,27.8,20.6,44859.74
2011-09-17,27.1,20.8,44697.76
2011-09-18,23.2,16.6,44536.16
2011-09-19,23.2,14.9,44373.84
2011-09-20,23.9,16.9,44210.68
2011-09-21,24.6,16.6,44046.82
2011-09-22,26.3,17.9,43882.34
2011-09-23,25.2,18.2,43717.36
2011-09-24,22.5,19.5,43551.97
2011-09-25,24.7,17.8,43386.28
2011-09-26,26.5,17.3,43220.38
2011-09-27,27.7,17.3,43054.40
2011-09-28,27.2,17.5,42888.41
2011-09-29,27.3,17.4,42722.53
2011-09-30,25.8,16.5,42556.86
2011-10-01,25.8,16.6,42391.50
2011-10-02,25.8,15.2,42226.55
2011-10-03,28.3,16.3,42062.13
2011-10-04,28.3,16.8,41898.32
2011-10-05,27.8,16.7,41735.25
2011-10-06,24.8,17.0,41573.02
2011-10-07,21.6,16.9,41411.73
2011-10-08,22.0,14.6,41251.28
2011-10-09,23.0,14.9,41090.47
2011-10-10,28.0,15.7,40929.20
2011-10-11,28.1,16.8,40767.60
2011-10-12,28.0,16.2,40605.77
2011-10-13,24.4,16.4,40443.82
2011-10-14,23.9,17.2,40281.89
2011-10-15,22.2,16.3,40120.10
2011-10-16,21.9,15.2,39958.55
2011-10-17,22.1,14.5,39797.38
2011-10-18,22.5,14.7,39636.71
2011-10-19,23.7,14.1,39476.67
2011-10-20,19.3,14.4,39317.39
2011-10-21,17.1,10.5,39158.99
2011-10-22,19.7,13.9,39001.61
2011-10-23,19.5,14.6,38845.39
2011-10-24,20.0,16.1,38690.46
2011-10-25,20.8,11.8,38536.96
2011-10-26,19.5,10.0,38385.05
2011-10-27,20.2,16.5,38234.86
2011-10-28,19.8,16.2,38086.31
2011-10-29,21.0,17.1,37938.08
2011-10-30,22.5,15.5,37790.07
2011-10-31,20.4,15.1,37642.42
2011-11-01,20.9,17.1,37495.27
2011-11-02,21.0,16.7,37348.77
2011-11-03,20.5,18.4,37203.05
2011-11-04,18.9,16.1,37058.30
2011-11-05,17.0,15.1,36914.63
2011-11-06,17.9,14.6,36772.23
2011-11-07,20.1,14.2,36631.24
2011-11-08,18.8,12.3,36491.82
2011-11-09,20.0,11.8,36354.16
2011-11-10,19.8,12.9,36218.41
2011-11-11,19.4,11.9,36084.75
2011-11-12,20.3,15.9,35953.35
2011-11-13,18.6,15.5,35824.40
2011-11-14,18.1,14.5,35698.07
2011-11-15,16.4,14.9,35574.57
2011-11-16,16.8,14.5,35454.06
2011-11-17,17.9,13.8,35336.52
2011-11-18,17.2,11.0,35220.68
2011-11-19,17.6,11.4,35106.45
2011-11-20,18.1,14.4,34993.99
2011-11-21,16.9,15.2,34883.43
2011-11-22,16.8,15.7,34774.90
2011-11-23,19.5,12.5,34668.59
2011-11-24,18.3,11.1,34564.61
2011-11-25,16.7,10.7,34463.13
2011-11-26,16.5,9.2,34364.30
2011-11-27,15.7,9.2,34268.29
2011-11-28,14.9,11.0,34175.25
2011-11-29,17.2,11.1,34085.33
2011-11-30,16.7,9.7,33998.71
2011-12-01,17.0,8.6,33915.54
2011-12-02,16.8,10.4,33835.98
2011-12-03,15.4,10.6,33760.21
2011-12-04,16.8,10.1,33688.39
2011-12-05,17.7,9.1,33620.68
2011-12-06,16.8,9.3,33557.24
2011-12-07,17.3,9.4,33498.11
2011-12-08,16.7,8.4,33442.55
2011-12-09,14.2,7.0,33390.48
2011-12-10,15.2,7.4,33341.96
2011-12-11,14.1,7.1,33297.06
2011-12-12,15.3,7.3,33255.81
2011-12-13,15.5,7.1,33218.29
2011-12-14,17.9,10.4,33184.54
2011-12-15,15.2,8.8,33154.60
2011-12-16,16.7,10.5,33128.55
2011-12-17,13.8,8.4,33106.41
2011-12-18,12.9,5.7,33088.25
2011-12-19,11.4,3.6,33074.09
2011-12-20,14.5,5.4,33064.00
2011-12-21,15.6,7.4,33058.00
2011-12-22,16.8,9.6,33056.14
2011-12-23,16.4,7.2,33058.46
2011-12-24,14.8,8.0,33064.98
2011-12-25,14.0,5.5,33075.75
2011-12-26,13.8,4.6,33090.79
2011-12-27,14.7,5.4,33110.17
2011-12-28,14.7,5.0,33134.08
2011-12-29,13.8,5.2,33162.47
2011-12-30,15.8,5.4,33195.24
2011-12-31,17.3,7.1,33232.29
2012-01-01,17.5,8.4,33273.52
2012-01-02,16.7,8.7,33318.83
2012-01-03,14.6,6.5,33368.12
2012-01-04,16.8,5.8,33421.27
2012-01-05,14.9,7.9,33478.19
2012-01-06,15.6,9.6,33538.76
2012-01-07,14.9,4.9,33602.89
2012-01-08,14.2,5.1,33670.46
2012-01-09,14.8,4.9,33741.36
2012-01-10,14.2,4.7,33815.48
2012-01-11,13.7,4.3,33892.74
2012-01-12,13.3,4.7,33973.00
2012-01-13,13.7,4.3,34056.17
2012-01-14,11.1,3.9,34142.14
2012-01-15,10.7,4.4,34230.81
2012-01-16,11.5,6.5,34322.26
2012-01-17,13.7,9.4,34417.51
2012-01-18,13.0,4.6,34516.55
2012-01-19,15.1,4.3,34619.19
2012-01-20,17.4,6.2,34725.25
2012-01-21,16.6,6.5,34834.53
2012-01-22,17.2,6.1,34946.86
2012-01-23,16.7,6.8,35062.04
2012-01-24,14.6,7.0,35179.89
2012-01-25,15.3,5.0,35300.25
2012-01-26,14.2,4.9,35422.94
2012-01-27,13.5,8.2,35547.79
2012-01-28,10.3,6.9,35674.61
2012-01-29,9.9,4.0,35803.26
2012-01-30,11.3,1.8,35933.57
2012-01-31,12.0,3.3,36065.37
2012-02-01,9.1,5.4,36198.52
2012-02-02,5.7,3.6,36332.85
2012-02-03,6.4,0.7,36468.22
2012-02-04,5.4,-0.7,36604.49
2012-02-05,5.7,-1.5,36741.75
2012-02-06,11.9,1.7,36881.34
2012-02-07,9.9,3.0,37023.35
2012-02-08,8.1,1.2,37167.58
2012-02-09,10.4,0.9,37313.87
2012-02-10,11.0,2.0,37462.04
2012-02-11,7.5,-0.2,37611.93
2012-02-12,6.3,-0.1,37763.38
