latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
35.88752,-5.4651184,15.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,16.2,13.9,35173.54
2011-01-02,16.1,13.1,35209.28
2011-01-03,16.1,11.7,35248.59
2011-01-04,16.8,10.4,35291.37
2011-01-05,18.0,10.7,35337.52
2011-01-06,17.8,13.4,35386.93
2011-01-07,17.1,12.2,35439.48
2011-01-08,18.0,12.2,35495.09
2011-01-09,14.9,12.1,35553.63
2011-01-10,14.9,11.9,35615.00
2011-01-11,17.1,12.2,35679.10
2011-01-12,17.3,12.5,35745.82
2011-01-13,16.5,10.7,35815.05
2011-01-14,17.2,11.5,35886.69
2011-01-15,16.8,10.9,35960.64
2011-01-16,16.3,12.7,36036.79
2011-01-17,15.9,12.2,36115.03
2011-01-18,15.2,13.6,36195.27
2011-01-19,15.8,13.7,36277.41
2011-01-20,15.2,13.1,36361.34
2011-01-21,15.2,13.0,36447.14
2011-01-22,12.8,11.1,36535.75
2011-01-23,12.3,10.6,36627.18
2011-01-24,12.7,11.7,36721.28
2011-01-25,14.4,12.6,36817.88
2011-01-26,14.1,13.0,36916.86
2011-01-27,14.1,12.1,37018.04
2011-01-28,13.9,11.8,37121.28
2011-01-29,13.7,11.5,37226.45
2011-01-30,12.7,9.6,37333.39
2011-01-31,12.6,8.1,37441.98
2011-02-01,12.6,6.4,37552.05
2011-02-02,13.0,7.3,37663.50
2011-02-03,14.3,9.2,37776.17
2011-02-04,15.0,10.2,37889.95
2011-02-05,14.8,12.8,38004.69
2011-02-06,15.2,12.2,38120.28
2011-02-07,15.7,11.0,38236.59
2011-02-08,15.3,8.0,38353.50
2011-02-09,15.3,8.6,38470.89
2011-02-10,15.0,12.7,38588.84
2011-02-11,15.1,11.5,38708.47
2011-02-12,15.9,10.0,38829.83
2011-02-13,16.0,8.3,38952.80
2011-02-14,14.4,10.4,39077.24
2011-02-15,13.3,11.8,39203.03
2011-02-16,14.6,11.0,39330.03
2011-02-17,14.2,10.6,39458.13
2011-02-18,16.0,11.7,39587.20
2011-02-19,16.3,12.0,39717.11
2011-02-20,16.0,13.4,39847.77
2011-02-21,16.2,13.0,39979.03
2011-02-22,15.4,12.3,40110.80
2011-02-23,18.1,11.6,40242.96
2011-02-24,17.1,13.8,40375.39
2011-02-25,18.2,13.4,40508.00
2011-02-26,20.4,11.9,40640.66
2011-02-27,17.9,13.5,40773.28
2011-02-28,16.3,10.0,40905.74
2011-03-01,14.4,7.1,41037.96
2011-03-02,13.9,7.4,41170.00
2011-03-03,13.6,6.8,41302.91
2011-03-04,13.1,9.7,41436.80
2011-03-05,14.7,11.4,41571.55
2011-03-06,15.0,12.2,41707.08
2011-03-07,15.3,13.2,41843.27
2011-03-08,15.7,13.4,41980.04
2011-03-09,13.7,12.8,42117.28
2011-03-10,14.1,13.2,42254.91
