Título,EVOLUCIÓN DE LA DEMANDA  (B.C.)_01-01-2012_31-12-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sistema eléctrico,Peninsular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnitudes,GWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fecha,01/01/2012,02/01/2012,03/01/2012,04/01/2012,05/01/2012,06/01/2012,07/01/2012,08/01/2012,09/01/2012,10/01/2012,11/01/2012,12/01/2012,13/01/2012,14/01/2012,15/01/2012,16/01/2012,17/01/2012,18/01/2012,19/01/2012,20/01/2012,21/01/2012,22/01/2012,23/01/2012,24/01/2012,25/01/2012,26/01/2012,27/01/2012,28/01/2012,29/01/2012,30/01/2012,31/01/2012,01/02/2012,02/02/2012,03/02/2012,04/02/2012,05/02/2012,06/02/2012,07/02/2012,08/02/2012,09/02/2012,10/02/2012,11/02/2012,12/02/2012,13/02/2012,14/02/2012,15/02/2012,16/02/2012,17/02/2012,18/02/2012,19/02/2012,20/02/2012,21/02/2012,22/02/2012,23/02/2012,24/02/2012,25/02/2012,26/02/2012,27/02/2012,28/02/2012,29/02/2012,01/03/2012,02/03/2012,03/03/2012,04/03/2012,05/03/2012,06/03/2012,07/03/2012,08/03/2012,09/03/2012,10/03/2012,11/03/2012,12/03/2012,13/03/2012,14/03/2012,15/03/2012,16/03/2012,17/03/2012,18/03/2012,19/03/2012,20/03/2012,21/03/2012,22/03/2012,23/03/2012,24/03/2012,25/03/2012,26/03/2012,27/03/2012,28/03/2012,29/03/2012,30/03/2012,31/03/2012,01/04/2012,02/04/2012,03/04/2012,04/04/2012,05/04/2012,06/04/2012,07/04/2012,08/04/2012,09/04/2012,10/04/2012,11/04/2012,12/04/2012,13/04/2012,14/04/2012,15/04/2012,16/04/2012,17/04/2012,18/04/2012,19/04/2012,20/04/2012,21/04/2012,22/04/2012,23/04/2012,24/04/2012,25/04/2012,26/04/2012,27/04/2012,28/04/2012,29/04/2012,30/04/2012,01/05/2012,02/05/2012,03/05/2012,04/05/2012,05/05/2012,06/05/2012,07/05/2012,08/05/2012,09/05/2012,10/05/2012,11/05/2012,12/05/2012,13/05/2012,14/05/2012,15/05/2012,16/05/2012,17/05/2012,18/05/2012,19/05/2012,20/05/2012,21/05/2012,22/05/2012,23/05/2012,24/05/2012,25/05/2012,26/05/2012,27/05/2012,28/05/2012,29/05/2012,30/05/2012,31/05/2012,01/06/2012,02/06/2012,03/06/2012,04/06/2012,05/06/2012,06/06/2012,07/06/2012,08/06/2012,09/06/2012,10/06/2012,11/06/2012,12/06/2012,13/06/2012,14/06/2012,15/06/2012,16/06/2012,17/06/2012,18/06/2012,19/06/2012,20/06/2012,21/06/2012,22/06/2012,23/06/2012,24/06/2012,25/06/2012,26/06/2012,27/06/2012,28/06/2012,29/06/2012,30/06/2012,01/07/2012,02/07/2012,03/07/2012,04/07/2012,05/07/2012,06/07/2012,07/07/2012,08/07/2012,09/07/2012,10/07/2012,11/07/2012,12/07/2012,13/07/2012,14/07/2012,15/07/2012,16/07/2012,17/07/2012,18/07/2012,19/07/2012,20/07/2012,21/07/2012,22/07/2012,23/07/2012,24/07/2012,25/07/2012,26/07/2012,27/07/2012,28/07/2012,29/07/2012,30/07/2012,31/07/2012,01/08/2012,02/08/2012,03/08/2012,04/08/2012,05/08/2012,06/08/2012,07/08/2012,08/08/2012,09/08/2012,10/08/2012,11/08/2012,12/08/2012,13/08/2012,14/08/2012,15/08/2012,16/08/2012,17/08/2012,18/08/2012,19/08/2012,20/08/2012,21/08/2012,22/08/2012,23/08/2012,24/08/2012,25/08/2012,26/08/2012,27/08/2012,28/08/2012,29/08/2012,30/08/2012,31/08/2012,01/09/2012,02/09/2012,03/09/2012,04/09/2012,05/09/2012,06/09/2012,07/09/2012,08/09/2012,09/09/2012,10/09/2012,11/09/2012,12/09/2012,13/09/2012,14/09/2012,15/09/2012,16/09/2012,17/09/2012,18/09/2012,19/09/2012,20/09/2012,21/09/2012,22/09/2012,23/09/2012,24/09/2012,25/09/2012,26/09/2012,27/09/2012,28/09/2012,29/09/2012,30/09/2012,01/10/2012,02/10/2012,03/10/2012,04/10/2012,05/10/2012,06/10/2012,07/10/2012,08/10/2012,09/10/2012,10/10/2012,11/10/2012,12/10/2012,13/10/2012,14/10/2012,15/10/2012,16/10/2012,17/10/2012,18/10/2012,19/10/2012,20/10/2012,21/10/2012,22/10/2012,23/10/2012,24/10/2012,25/10/2012,26/10/2012,27/10/2012,28/10/2012,29/10/2012,30/10/2012,31/10/2012,01/11/2012,02/11/2012,03/11/2012,04/11/2012,05/11/2012,06/11/2012,07/11/2012,08/11/2012,09/11/2012,10/11/2012,11/11/2012,12/11/2012,13/11/2012,14/11/2012,15/11/2012,16/11/2012,17/11/2012,18/11/2012,19/11/2012,20/11/2012,21/11/2012,22/11/2012,23/11/2012,24/11/2012,25/11/2012,26/11/2012,27/11/2012,28/11/2012,29/11/2012,30/11/2012,01/12/2012,02/12/2012,03/12/2012,04/12/2012,05/12/2012,06/12/2012,07/12/2012,08/12/2012,09/12/2012,10/12/2012,11/12/2012,12/12/2012,13/12/2012,14/12/2012,15/12/2012,16/12/2012,17/12/2012,18/12/2012,19/12/2012,20/12/2012,21/12/2012,22/12/2012,23/12/2012,24/12/2012,25/12/2012,26/12/2012,27/12/2012,28/12/2012,29/12/2012,30/12/2012,31/12/2012
Demanda,"557,272116","685,712237","738,543152","749,208337","721,175799","601,319977","644,0118190000001","630,0117700000001","768,756125","799,524763","809,6277879999999","813,8473590000001","807,28036","722,4417070000001","676,1651509999999","818,951996","816,560019","810,293053","805,886304","790,674881","700,203157","646,8234279999999","774,0410039999999","787,014181","792,493187","799,313345","801,503177","712,9987269999999","661,958679","795,222573","820,4610749999999","825,593709","854,701521","865,714863","790,176651","735,277555","835,838604","844,075573","866,106558","870,629545","854,299858","770,573725","721,329599","862,026809","868,0003449999999","847,866707","837,169206","821,013076","725,507614","664,7920720000001","790,576846","802,059352","804,358147","791,709745","771,746834","687,454853","621,123624","730,136177","731,1566210000001","735,794781","741,28292","747,432679","658,316221","607,3349880000001","723,6650629999999","750,057745","754,578108","755,218598","743,923452","660,73057","604,028686","711,004736","722,471269","716,482906","715,00226","711,173851","639,019628","588,71182","658,6706750000001","750,826675","767,9793440000001","748,130616","730,7512780000001","641,086961","552,477553","691,594135","703,671573","688,542642","592,199037","660,480321","606,874872","552,4375130000001","659,221273","678,974582","676,859265","594,660329","551,378335","580,444664","541,487414","591,911469","678,804746","694,201628","697,4910590000001","698,25474","633,451275","583,039658","695,449821","715,100571","723,526976","724,0079420000001","712,121207","624,788761","563,6396360000001","669,009913","694,8638599999999","697,669787","700,330022","693,852348","626,098795","568,955011","630,228951","545,387525","648,6504080000001","688,035399","687,843129","610,866697","547,244035","663,613436","687,876767","680,621674","682,164911","684,93839","614,574982","563,497503","675,11486","681,545971","690,344959","692,168713","683,851244","601,347287","542,8456600000001","656,1079209999999","681,7067","678,885693","683,2267909999999","681,896368","601,65828","545,951107","653,9436559999999","688,145097","698,2871269999999","706,344784","707,635495","629,142772","564,084104","685,966756","717,972677","729,209419","716,830014","700,557421","620,9206360000001","575,766562","695,739336","697,119342","701,606239","710,147419","714,825179","636,8866310000001","581,5037510000001","703,1218789999999","714,593252","716,173051","723,538326","716,4331990000001","648,357334","594,188512","734,606745","775,647967","792,56717","791,781557","758,87582","661,692096","587,003147","689,1809370000001","721,137266","734,94138","729,558732","715,360501","646,466214","583,747013","712,4721850000001","734,8490720000001","734,584395","735,902066","753,662383","660,801612","588,471806","714,853943","749,591114","764,6630779999999","768,709928","757,064157","665,832498","602,198557","722,913227","734,3431850000001","729,859421","737,79887","724,05985","637,606924","577,72274","699,588968","718,317097","738,076623","735,10309","720,256542","636,542681","570,535053","658,792639","681,86959","701,657392","729,113005","741,255103","672,297177","594,756801","677,0673270000001","688,2288490000001","599,157063","676,835573","700,015946","650,6227190000001","611,535285","735,764826","762,756424","767,137794","752,201781","734,6857090000001","655,427243","591,471843","720,010188","742,9225","748,912686","730,51373","694,70628","614,483118","560,5598540000001","675,382079","701,788713","711,599147","721,10307","719,4218569999999","635,222757","578,492961","683,063671","687,8875230000001","723,022223","710,953715","696,954697","620,2505","570,33435","694,484895","716,864944","717,6510579999999","709,37848","704,032297","624,9673310000001","568,151433","663,354098","678,39201","658,5187020000001","659,026791","661,845065","579,052075","526,821952","636,146207","660,8706679999999","666,831254","673,165166","668,0052","593,2124620000001","543,596864","662,1789640000001","670,049811","684,6475230000001","671,77977","554,6773989999999","554,706564","529,46183","637,408729","659,9167160000001","665,283586","675,212193","674,096214","593,694927","539,844982","649,25208","664,672711","667,876867","659,056167","648,916806","581,3279399999999","562,453213","665,020816","703,248887","691,0159699999999","585,1230330000001","625,0483","597,520968","559,673802","675,725032","707,390032","726,124322","719,003553","701,346277","626,418004","588,134434","706,866279","719,520269","636,822048","692,4913760000001","695,4477909999999","625,243768","571,912576","691,512474","713,414109","713,577525","715,338855","710,019094","629,892891","578,362197","703,261139","740,750059","757,7975429999999","757,807192","765,8055439999999","692,667177","650,616783","763,46036","779,57873","770,104542","681,505465","712,45466","650,819576","632,234194","775,475661","795,507408","801,642008","796,92668","778,010088","676,625198","621,188091","727,6739819999999","748,0813880000001","743,700339","728,992704","697,356849","624,0748540000001","582,815285","584,272292","516,287357","611,625644","658,837446","661,580137","624,4957589999999","590,243604","621,515375"
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Definitivo: 01/01/2012 - 31/12/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fecha exportación,14/05/2024 - 14:22:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
