latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.47276,-6.099579,372.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,12.0,6.6,33973.82
2011-01-02,12.0,4.9,34015.11
2011-01-03,10.3,2.3,34060.52
2011-01-04,11.1,3.2,34109.93
2011-01-05,12.2,8.3,34163.21
2011-01-06,14.5,11.3,34220.25
2011-01-07,14.4,10.4,34280.91
2011-01-08,13.3,8.6,34345.09
2011-01-09,10.8,5.5,34412.63
2011-01-10,10.1,-0.1,34483.43
2011-01-11,13.3,9.3,34557.36
2011-01-12,11.8,5.4,34634.28
2011-01-13,13.8,4.3,34714.09
2011-01-14,13.2,3.9,34796.65
2011-01-15,13.9,5.2,34881.85
2011-01-16,12.8,3.3,34969.57
2011-01-17,12.9,3.4,35059.68
2011-01-18,13.6,5.8,35152.06
2011-01-19,13.1,5.9,35246.60
2011-01-20,13.7,3.3,35343.18
2011-01-21,9.5,2.5,35441.89
2011-01-22,6.6,-0.5,35543.80
2011-01-23,6.1,-0.2,35648.92
2011-01-24,8.7,1.3,35757.08
2011-01-25,9.6,0.9,35868.10
2011-01-26,10.7,2.0,35981.80
2011-01-27,9.4,1.9,36098.00
2011-01-28,9.4,4.4,36216.55
2011-01-29,8.2,1.5,36337.26
2011-01-30,7.4,-0.3,36459.98
2011-01-31,9.4,0.2,36584.54
2011-02-01,9.5,-1.3,36710.79
2011-02-02,10.6,-1.6,36838.55
2011-02-03,13.2,0.0,36967.70
2011-02-04,14.9,1.5,37098.08
2011-02-05,15.5,0.6,37229.53
2011-02-06,16.3,1.4,37361.91
2011-02-07,15.9,2.1,37495.08
2011-02-08,14.9,2.6,37628.91
2011-02-09,13.4,2.4,37763.24
2011-02-10,15.3,2.5,37898.20
2011-02-11,15.1,3.9,38035.03
2011-02-12,15.1,4.5,38173.81
2011-02-13,11.6,4.6,38314.40
2011-02-14,9.5,2.5,38456.64
2011-02-15,10.6,4.8,38600.38
2011-02-16,10.9,4.4,38745.48
2011-02-17,11.2,5.1,38891.80
2011-02-18,12.3,3.9,39039.19
2011-02-19,11.1,8.8,39187.53
2011-02-20,13.2,6.3,39336.67
2011-02-21,13.8,7.0,39486.48
2011-02-22,15.3,9.1,39636.84
2011-02-23,17.7,6.0,39787.62
2011-02-24,19.0,5.5,39938.68
2011-02-25,19.8,6.1,40089.91
2011-02-26,20.3,8.6,40241.19
2011-02-27,15.0,7.5,40392.39
2011-02-28,12.6,4.2,40543.39
2011-03-01,11.2,0.9,40694.08
2011-03-02,11.6,1.0,40844.55
2011-03-03,11.3,0.9,40996.01
2011-03-04,9.9,1.5,41148.56
2011-03-05,13.0,3.5,41302.07
2011-03-06,14.9,5.1,41456.45
2011-03-07,16.2,4.9,41611.57
2011-03-08,12.3,7.6,41767.32
2011-03-09,12.7,8.0,41923.61
2011-03-10,16.5,5.6,42080.32
2011-03-11,11.2,8.6,42237.33
2011-03-12,13.5,7.7,42394.56
2011-03-13,11.3,4.5,42551.89
2011-03-14,11.3,7.8,42709.21
2011-03-15,12.6,5.8,42866.44
2011-03-16,14.2,3.1,43023.45
2011-03-17,16.8,6.7,43180.14
2011-03-18,18.8,6.6,43336.41
2011-03-19,20.5,5.3,43492.17
2011-03-20,20.7,7.4,43647.29
2011-03-21,18.6,7.6,43801.68
2011-03-22,16.2,8.5,43955.43
2011-03-23,13.0,6.5,44109.64
2011-03-24,18.9,8.5,44264.43
2011-03-25,17.4,9.1,44419.67
2011-03-26,16.4,10.5,44575.30
2011-03-27,15.0,7.7,44731.20
2011-03-28,13.9,6.7,44887.29
2011-03-29,17.5,10.1,45043.46
2011-03-30,20.2,7.8,45199.62
2011-03-31,22.1,8.1,45355.67
2011-04-01,25.2,11.9,45511.52
2011-04-02,20.9,10.6,45667.05
2011-04-03,15.7,11.0,45822.18
2011-04-04,20.4,6.7,45976.79
2011-04-05,25.2,12.6,46130.80
2011-04-06,26.6,14.8,46284.08
2011-04-07,26.8,13.7,46436.54
2011-04-08,27.9,12.9,46588.06
2011-04-09,24.0,13.7,46738.55
2011-04-10,24.9,11.6,46887.88
2011-04-11,22.5,11.6,47036.12
2011-04-12,24.3,13.2,47184.36
2011-04-13,26.1,10.3,47332.66
2011-04-14,26.9,13.0,47480.93
2011-04-15,26.2,11.6,47629.08
2011-04-16,24.6,13.1,47777.01
2011-04-17,23.6,14.0,47924.61
2011-04-18,24.1,12.5,48071.78
2011-04-19,17.7,12.9,48218.41
2011-04-20,19.1,12.5,48364.39
2011-04-21,17.1,11.1,48509.62
2011-04-22,14.6,8.8,48653.98
2011-04-23,17.0,9.3,48797.36
2011-04-24,20.0,8.4,48939.64
2011-04-25,20.9,10.7,49080.70
2011-04-26,21.3,9.7,49220.42
2011-04-27,22.7,11.7,49358.68
2011-04-28,23.7,11.1,49495.34
2011-04-29,19.3,11.5,49630.29
2011-04-30,16.9,11.9,49763.38
2011-05-01,19.0,10.8,49894.66
2011-05-02,21.3,12.1,50025.15
2011-05-03,22.2,11.6,50154.91
2011-05-04,21.4,9.8,50283.84
2011-05-05,23.1,10.7,50411.82
2011-05-06,22.2,13.6,50538.76
2011-05-07,18.1,11.9,50664.52
2011-05-08,21.1,8.7,50789.00
2011-05-09,27.0,10.6,50912.07
2011-05-10,28.5,14.7,51033.61
2011-05-11,27.5,16.0,51153.51
2011-05-12,26.6,15.1,51271.62
2011-05-13,27.4,16.1,51387.84
2011-05-14,28.4,15.4,51502.02
2011-05-15,24.4,14.5,51614.01
2011-05-16,26.3,14.7,51723.71
2011-05-17,24.7,15.6,51830.96
2011-05-18,21.0,15.4,51935.64
2011-05-19,21.5,14.9,52037.59
2011-05-20,24.5,13.0,52136.66
2011-05-21,26.8,13.6,52232.88
2011-05-22,27.9,15.7,52327.04
2011-05-23,29.3,15.6,52419.20
2011-05-24,30.5,16.1,52509.27
2011-05-25,30.8,16.9,52597.15
2011-05-26,27.0,17.0,52682.75
2011-05-27,25.2,14.7,52765.97
2011-05-28,27.4,15.7,52846.71
2011-05-29,26.7,16.1,52924.89
2011-05-30,21.8,15.1,53000.40
2011-05-31,24.8,13.6,53073.15
2011-06-01,24.2,15.6,53143.02
2011-06-02,25.0,12.5,53209.93
2011-06-03,25.1,15.5,53273.79
2011-06-04,26.6,13.5,53334.48
2011-06-05,28.0,14.0,53391.90
2011-06-06,23.9,14.8,53445.96
2011-06-07,21.8,14.0,53496.57
2011-06-08,23.1,12.2,53543.62
2011-06-09,20.1,11.9,53587.02
2011-06-10,23.5,12.6,53626.73
2011-06-11,27.3,13.2,53663.09
2011-06-12,30.8,15.9,53696.15
2011-06-13,28.5,15.9,53725.88
2011-06-14,29.7,15.3,53752.27
2011-06-15,31.2,16.6,53775.30
2011-06-16,28.9,17.1,53794.96
2011-06-17,29.2,16.3,53811.24
2011-06-18,27.3,15.3,53824.13
2011-06-19,31.8,15.9,53833.62
2011-06-20,34.0,19.3,53839.70
2011-06-21,34.6,19.8,53842.38
2011-06-22,31.5,19.7,53841.63
2011-06-23,30.9,16.7,53837.47
2011-06-24,34.6,16.9,53829.88
2011-06-25,36.7,21.4,53818.88
2011-06-26,38.2,22.5,53804.45
2011-06-27,36.6,23.1,53786.62
2011-06-28,34.3,22.3,53765.38
2011-06-29,33.9,20.3,53740.73
2011-06-30,35.1,19.1,53712.63
2011-07-01,35.0,20.4,53680.81
2011-07-02,35.8,21.5,53645.28
2011-07-03,27.9,17.3,53606.13
2011-07-04,30.7,16.0,53563.45
2011-07-05,33.2,18.6,53517.33
2011-07-06,30.2,18.8,53467.86
2011-07-07,27.3,16.0,53415.13
2011-07-08,28.5,14.8,53359.23
2011-07-09,30.5,17.5,53300.24
2011-07-10,31.0,16.9,53238.27
2011-07-11,32.4,17.3,53173.39
2011-07-12,29.4,18.7,53105.71
2011-07-13,28.6,16.7,53035.32
2011-07-14,30.2,18.4,52962.31
2011-07-15,33.1,18.4,52886.76
2011-07-16,34.0,20.0,52808.77
2011-07-17,29.2,19.0,52728.43
2011-07-18,29.2,16.3,52645.81
2011-07-19,29.1,17.6,52561.03
2011-07-20,32.3,18.4,52474.01
2011-07-21,33.2,19.4,52383.99
2011-07-22,33.4,19.9,52290.97
2011-07-23,32.4,20.2,52195.09
2011-07-24,32.8,19.1,52096.48
2011-07-25,33.7,20.2,51995.29
2011-07-26,35.7,21.5,51891.65
2011-07-27,35.2,23.6,51785.69
2011-07-28,36.0,23.8,51677.55
