latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.565903,-8.085419,681.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,10.6,0.9,32819.95
2011-01-02,9.3,3.1,32866.74
2011-01-03,9.0,0.4,32918.19
2011-01-04,9.4,6.8,32974.17
2011-01-05,10.4,7.8,33034.53
2011-01-06,11.4,9.1,33099.13
2011-01-07,9.2,7.0,33167.82
2011-01-08,9.2,5.1,33240.46
2011-01-09,7.3,-0.4,33316.91
2011-01-10,8.7,-0.9,33397.01
2011-01-11,10.6,8.3,33480.64
2011-01-12,11.3,8.5,33567.64
2011-01-13,10.9,3.6,33657.88
2011-01-14,10.8,2.4,33751.20
2011-01-15,11.0,0.9,33847.48
2011-01-16,9.9,4.7,33946.57
2011-01-17,10.5,6.8,34048.33
2011-01-18,8.7,5.5,34152.64
2011-01-19,11.4,3.4,34259.35
2011-01-20,10.7,0.2,34368.33
2011-01-21,7.8,-2.2,34479.68
2011-01-22,5.9,-3.6,34594.61
2011-01-23,6.4,-1.5,34713.12
2011-01-24,7.0,-2.9,34835.02
2011-01-25,7.2,-3.8,34960.10
2011-01-26,6.4,-4.0,35088.17
2011-01-27,5.4,-0.6,35219.02
2011-01-28,6.6,-2.1,35352.45
2011-01-29,5.0,1.4,35488.29
2011-01-30,6.2,1.6,35626.34
2011-01-31,4.8,-0.4,35766.42
2011-02-01,7.4,-2.8,35908.35
2011-02-02,9.8,-4.0,36051.95
2011-02-03,11.8,-0.7,36197.06
2011-02-04,11.6,0.3,36343.50
2011-02-05,14.1,-3.4,36491.10
2011-02-06,14.0,-1.2,36639.71
2011-02-07,11.9,-0.9,36789.16
2011-02-08,12.4,-0.3,36939.30
2011-02-09,12.3,6.9,37089.98
2011-02-10,12.2,6.4,37241.30
2011-02-11,10.5,4.8,37394.70
2011-02-12,8.9,2.3,37550.23
2011-02-13,6.5,2.0,37707.76
2011-02-14,5.6,-0.4,37867.09
2011-02-15,6.7,3.4,38028.07
2011-02-16,5.3,1.7,38190.53
2011-02-17,7.7,1.0,38354.31
2011-02-18,8.9,2.7,38519.26
2011-02-19,11.0,4.9,38685.23
2011-02-20,8.3,2.3,38852.06
2011-02-21,10.0,5.1,39019.61
2011-02-22,10.2,7.0,39187.73
2011-02-23,13.0,3.8,39356.29
2011-02-24,14.8,1.1,39525.14
2011-02-25,17.0,1.4,39694.14
