latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.613354,2.995839,101.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,13.4,8.5,33923.98
2011-01-02,13.1,7.9,33965.50
2011-01-03,11.1,7.3,34011.17
2011-01-04,13.1,7.3,34060.86
2011-01-05,14.2,6.7,34114.45
2011-01-06,16.9,10.3,34171.80
2011-01-07,16.8,12.1,34232.82
2011-01-08,16.6,11.6,34297.35
2011-01-09,16.4,10.4,34365.27
2011-01-10,14.3,7.3,34436.46
2011-01-11,16.0,7.6,34510.80
2011-01-12,14.9,7.9,34588.16
2011-01-13,17.0,7.8,34668.41
2011-01-14,17.2,7.6,34751.44
2011-01-15,15.8,7.3,34837.11
2011-01-16,16.6,8.2,34925.31
2011-01-17,14.4,8.8,35015.92
2011-01-18,13.6,8.2,35108.80
2011-01-19,13.8,8.1,35203.87
2011-01-20,11.7,7.8,35300.98
2011-01-21,8.2,6.0,35400.23
2011-01-22,7.6,4.4,35502.70
2011-01-23,8.5,3.5,35608.39
2011-01-24,9.3,2.8,35717.14
2011-01-25,10.8,3.3,35828.77
2011-01-26,11.3,4.4,35943.08
2011-01-27,12.1,8.8,36059.91
2011-01-28,13.1,9.9,36179.10
2011-01-29,13.1,6.9,36300.46
2011-01-30,12.7,5.8,36423.84
2011-01-31,11.0,5.4,36549.07
2011-02-01,10.8,8.2,36675.98
2011-02-02,11.9,8.2,36804.44
2011-02-03,12.3,6.5,36934.27
2011-02-04,14.0,5.4,37065.34
2011-02-05,15.2,7.0,37197.48
2011-02-06,16.4,7.7,37330.57
2011-02-07,13.9,6.7,37464.44
2011-02-08,12.7,6.1,37598.96
2011-02-09,13.7,6.7,37734.01
2011-02-10,13.8,6.8,37869.67
2011-02-11,15.0,7.1,38007.21
2011-02-12,14.0,6.4,38146.73
2011-02-13,15.2,6.0,38288.04
2011-02-14,13.7,8.8,38431.02
2011-02-15,14.5,7.9,38575.51
2011-02-16,13.8,9.1,38721.36
2011-02-17,12.7,8.5,38868.43
2011-02-18,14.9,8.3,39016.59
2011-02-19,15.8,6.6,39165.69
2011-02-20,14.6,7.2,39315.59
2011-02-21,15.0,7.2,39466.17
2011-02-22,16.4,11.5,39617.30
2011-02-23,14.7,10.0,39768.85
2011-02-24,16.6,8.5,39920.68
2011-02-25,15.9,9.1,40072.69
2011-02-26,16.2,8.7,40224.73
2011-02-27,11.8,7.0,40376.70
2011-02-28,11.1,4.5,40528.47
2011-03-01,11.6,7.3,40679.92
2011-03-02,10.0,6.4,40831.16
2011-03-03,10.3,6.4,40983.38
2011-03-04,13.2,6.2,41136.70
2011-03-05,13.6,7.5,41290.99
2011-03-06,14.0,5.7,41446.14
2011-03-07,14.8,5.3,41602.04
2011-03-08,13.5,9.8,41758.58
2011-03-09,12.7,7.9,41915.66
2011-03-10,13.3,5.9,42073.15
2011-03-11,14.8,5.7,42230.96
2011-03-12,13.9,11.5,42388.98
2011-03-13,17.0,10.1,42547.09
2011-03-14,18.8,8.6,42705.21
2011-03-15,17.2,12.1,42863.22
2011-03-16,14.4,11.3,43021.02
2011-03-17,16.7,9.0,43178.50
2011-03-18,16.7,8.4,43335.55
2011-03-19,17.7,10.3,43492.09
2011-03-20,15.0,9.4,43647.99
2011-03-21,14.8,8.8,43803.15
2011-03-22,14.2,9.3,43957.67
2011-03-23,15.5,10.8,44112.66
2011-03-24,15.7,10.5,44268.21
2011-03-25,17.7,8.7,44424.24
2011-03-26,17.7,9.3,44580.64
2011-03-27,18.6,9.1,44737.33
2011-03-28,17.6,11.0,44894.20
2011-03-29,19.5,10.9,45051.16
2011-03-30,18.5,10.8,45208.11
2011-03-31,20.3,9.7,45364.94
2011-04-01,22.3,10.6,45521.57
2011-04-02,21.6,11.4,45677.89
2011-04-03,23.3,11.8,45833.80
2011-04-04,19.4,11.9,45989.20
2011-04-05,21.2,12.5,46143.98
2011-04-06,22.0,8.8,46298.03
2011-04-07,23.0,12.1,46451.26
2011-04-08,25.2,12.6,46603.56
2011-04-09,26.5,11.2,46754.80
2011-04-10,23.1,13.3,46904.89
2011-04-11,20.9,13.6,47053.90
2011-04-12,22.8,13.5,47202.88
2011-04-13,20.2,13.1,47351.94
2011-04-14,22.1,11.6,47500.97
2011-04-15,19.8,12.3,47649.88
2011-04-16,18.7,12.1,47798.57
2011-04-17,19.8,11.0,47946.92
2011-04-18,19.6,9.3,48094.85
2011-04-19,20.5,11.0,48242.24
2011-04-20,19.9,12.0,48388.97
2011-04-21,19.9,14.5,48534.95
2011-04-22,20.5,13.8,48680.06
2011-04-23,19.9,14.0,48824.18
2011-04-24,18.9,13.7,48967.20
2011-04-25,18.4,14.1,49109.00
2011-04-26,21.5,13.8,49249.45
2011-04-27,22.4,12.6,49388.43
2011-04-28,23.0,13.1,49525.82
2011-04-29,21.0,12.6,49661.47
2011-04-30,20.2,14.8,49795.27
2011-05-01,20.8,13.6,49927.24
2011-05-02,17.7,14.4,50058.42
2011-05-03,22.1,11.9,50188.87
2011-05-04,21.8,14.4,50318.48
2011-05-05,23.0,14.2,50447.15
2011-05-06,22.3,14.5,50574.76
2011-05-07,24.4,16.4,50701.20
2011-05-08,23.0,15.4,50826.34
2011-05-09,23.6,14.6,50950.08
2011-05-10,23.4,15.2,51072.28
2011-05-11,23.8,15.5,51192.82
2011-05-12,24.5,14.9,51311.58
2011-05-13,25.1,15.2,51428.42
2011-05-14,26.8,17.2,51543.22
2011-05-15,20.9,15.2,51655.84
2011-05-16,22.9,13.5,51766.14
2011-05-17,24.7,14.0,51873.98
2011-05-18,24.2,15.9,51979.23
2011-05-19,21.7,16.2,52081.73
2011-05-20,23.0,15.9,52181.36
2011-05-21,23.2,16.0,52278.12
2011-05-22,26.6,14.8,52372.80
2011-05-23,27.0,16.8,52465.47
2011-05-24,29.1,16.5,52556.04
2011-05-25,29.7,18.0,52644.41
2011-05-26,30.2,17.0,52730.49
2011-05-27,28.4,18.2,52814.18
