latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.01406,-15.440186,668.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,18.3,14.3,37437.32
2011-01-02,19.0,14.2,37463.00
2011-01-03,19.4,12.1,37491.24
2011-01-04,18.8,12.4,37521.98
2011-01-05,19.0,12.0,37555.15
2011-01-06,19.5,12.1,37590.67
2011-01-07,19.1,11.4,37628.47
2011-01-08,17.7,14.0,37668.47
2011-01-09,18.1,14.2,37710.59
2011-01-10,17.8,14.0,37754.77
2011-01-11,16.4,14.0,37800.93
2011-01-12,18.7,14.2,37848.98
2011-01-13,18.6,13.0,37898.87
2011-01-14,18.1,12.6,37950.51
2011-01-15,17.2,12.3,38003.83
2011-01-16,17.0,12.9,38058.76
2011-01-17,18.0,11.4,38115.22
2011-01-18,18.1,10.9,38173.15
2011-01-19,17.1,12.7,38232.46
2011-01-20,17.6,11.9,38293.11
2011-01-21,18.2,10.0,38355.13
2011-01-22,15.9,9.9,38419.20
2011-01-23,16.6,11.4,38485.34
2011-01-24,16.1,10.9,38553.43
2011-01-25,15.5,12.8,38623.38
2011-01-26,15.7,11.1,38695.06
2011-01-27,16.1,11.8,38768.38
2011-01-28,15.5,11.8,38843.22
2011-01-29,15.8,12.8,38919.50
2011-01-30,14.8,12.7,38997.09
2011-01-31,13.7,11.5,39075.91
2011-02-01,13.8,11.1,39155.86
2011-02-02,14.0,11.4,39236.82
2011-02-03,13.8,11.6,39318.72
2011-02-04,15.3,11.6,39401.45
2011-02-05,15.7,11.6,39484.93
2011-02-06,14.8,11.6,39569.05
2011-02-07,15.3,11.5,39653.73
2011-02-08,15.6,10.6,39738.88
2011-02-09,16.2,8.8,39824.42
2011-02-10,15.5,10.4,39910.40
2011-02-11,16.6,11.7,39997.63
2011-02-12,14.3,11.6,40086.17
2011-02-13,15.9,12.1,40175.91
2011-02-14,17.0,13.1,40266.76
2011-02-15,18.0,13.1,40358.62
2011-02-16,16.2,13.0,40451.41
2011-02-17,17.3,12.9,40545.03
2011-02-18,18.2,13.6,40639.39
2011-02-19,18.1,13.1,40734.40
2011-02-20,19.0,13.5,40829.98
2011-02-21,18.1,14.4,40926.05
2011-02-22,19.7,13.9,41022.51
2011-02-23,19.6,13.3,41119.29
2011-02-24,18.9,13.0,41216.29
2011-02-25,18.3,12.9,41313.45
2011-02-26,20.3,14.2,41410.68
2011-02-27,20.2,13.8,41507.89
2011-02-28,19.4,13.5,41605.03
2011-03-01,17.5,13.4,41701.99
2011-03-02,16.1,13.1,41798.86
2011-03-03,14.7,11.2,41896.39
2011-03-04,13.2,10.5,41994.65
2011-03-05,14.1,9.0,42093.57
2011-03-06,14.9,8.5,42193.07
2011-03-07,15.6,10.1,42293.08
2011-03-08,16.1,10.0,42393.52
2011-03-09,16.0,9.8,42494.34
2011-03-10,16.6,12.4,42595.44
2011-03-11,15.9,10.0,42696.77
2011-03-12,16.4,11.4,42798.25
2011-03-13,14.9,9.8,42899.82
2011-03-14,11.4,8.5,43001.40
2011-03-15,13.0,8.0,43102.93
2011-03-16,13.7,9.9,43204.32
2011-03-17,14.9,11.1,43305.53
2011-03-18,16.4,11.8,43406.47
2011-03-19,19.5,12.4,43507.08
2011-03-20,19.6,12.9,43607.29
2011-03-21,20.3,14.0,43707.02
2011-03-22,19.6,14.0,43806.35
2011-03-23,18.7,13.8,43905.96
2011-03-24,18.9,12.7,44005.94
2011-03-25,19.1,12.2,44106.22
2011-03-26,18.4,13.1,44206.74
2011-03-27,18.9,13.9,44307.42
2011-03-28,18.9,14.4,44408.21
2011-03-29,19.6,14.1,44509.05
2011-03-30,19.4,14.8,44609.86
