latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.28471,-2.503662,1057.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,8.0,-0.0,32930.16
2011-01-02,4.2,0.0,32976.42
2011-01-03,4.3,-1.9,33027.29
2011-01-04,7.3,-2.0,33082.63
2011-01-05,8.1,3.1,33142.30
2011-01-06,11.1,4.7,33206.17
2011-01-07,10.4,5.8,33274.09
2011-01-08,11.3,3.8,33345.91
2011-01-09,4.9,1.8,33421.49
2011-01-10,7.8,0.4,33500.70
2011-01-11,9.4,4.2,33583.39
2011-01-12,12.0,3.0,33669.41
2011-01-13,13.5,1.0,33758.64
2011-01-14,13.0,-0.2,33850.93
2011-01-15,12.5,-2.2,33946.13
2011-01-16,11.5,-1.4,34044.13
2011-01-17,10.4,-1.4,34144.77
2011-01-18,8.1,-0.3,34247.92
2011-01-19,5.0,3.6,34353.46
2011-01-20,4.7,-3.6,34461.25
2011-01-21,-1.1,-5.3,34571.38
2011-01-22,-2.0,-5.6,34685.05
2011-01-23,-0.5,-6.1,34802.28
2011-01-24,0.9,-5.3,34922.86
2011-01-25,1.8,-4.4,35046.59
2011-01-26,2.9,-3.4,35173.27
2011-01-27,2.1,-3.7,35302.71
2011-01-28,3.1,-2.8,35434.71
2011-01-29,3.1,-3.1,35569.09
2011-01-30,1.6,-3.0,35705.68
2011-01-31,0.7,-5.7,35844.27
2011-02-01,1.0,-4.6,35984.69
2011-02-02,1.8,-2.2,36126.78
2011-02-03,5.5,-1.6,36270.35
2011-02-04,9.6,-2.8,36415.25
2011-02-05,12.3,-1.7,36561.30
2011-02-06,14.2,-2.9,36708.36
2011-02-07,13.5,-2.3,36856.26
2011-02-08,12.0,-3.0,37004.84
2011-02-09,11.5,-3.1,37153.95
2011-02-10,13.0,-2.7,37303.71
2011-02-11,11.4,-1.4,37455.52
2011-02-12,7.1,-2.5,37609.46
2011-02-13,8.1,-1.8,37765.37
2011-02-14,5.4,-2.4,37923.07
2011-02-15,6.0,0.2,38082.40
2011-02-16,6.9,-0.7,38243.21
2011-02-17,5.3,-3.0,38405.32
2011-02-18,9.3,-0.3,38568.60
2011-02-19,7.8,3.2,38732.89
2011-02-20,9.5,0.8,38898.04
2011-02-21,7.2,0.2,39063.90
2011-02-22,7.4,4.9,39230.33
2011-02-23,9.8,3.1,39397.20
2011-02-24,9.1,1.7,39564.35
2011-02-25,14.4,-1.2,39731.67
2011-02-26,9.7,2.3,39899.00
2011-02-27,3.2,-0.5,40066.23
2011-02-28,2.5,-1.8,40233.22
2011-03-01,0.9,-3.3,40399.84
2011-03-02,1.8,-1.7,40566.20
2011-03-03,0.8,-3.6,40733.63
2011-03-04,2.9,-5.3,40902.24
2011-03-05,4.9,-5.4,41071.90
2011-03-06,8.7,-4.8,41242.50
2011-03-07,11.4,-3.3,41413.90
2011-03-08,6.9,-2.3,41586.00
2011-03-09,10.1,-1.4,41758.66
2011-03-10,13.2,-1.5,41931.77
2011-03-11,12.3,-1.7,42105.22
2011-03-12,8.5,2.0,42278.89
2011-03-13,10.9,0.4,42452.66
2011-03-14,8.8,1.7,42626.43
2011-03-15,9.7,4.7,42800.06
2011-03-16,6.2,4.1,42973.46
2011-03-17,6.8,2.9,43146.51
2011-03-18,10.8,0.5,43319.09
2011-03-19,9.4,-0.6,43491.09
2011-03-20,10.0,1.0,43662.39
2011-03-21,9.6,-1.2,43832.89
2011-03-22,7.6,-0.1,44002.68
2011-03-23,9.9,-0.9,44172.99
2011-03-24,8.1,1.2,44343.93
2011-03-25,14.4,0.9,44515.39
2011-03-26,14.0,1.6,44687.27
2011-03-27,10.4,2.0,44859.47
2011-03-28,11.3,2.7,45031.88
2011-03-29,11.3,3.6,45204.39
2011-03-30,12.2,4.0,45376.91
2011-03-31,16.6,2.7,45549.31
2011-04-01,21.5,4.3,45721.50
2011-04-02,20.9,5.1,45893.37
2011-04-03,9.3,4.4,46064.80
2011-04-04,10.8,4.1,46235.68
2011-04-05,21.3,2.5,46405.91
2011-04-06,22.5,5.9,46575.36
2011-04-07,22.2,5.2,46743.92
2011-04-08,24.0,5.5,46911.46
2011-04-09,23.6,8.8,47077.89
2011-04-10,12.6,6.7,47243.05
2011-04-11,11.5,6.3,47407.05
2011-04-12,12.5,4.9,47571.05
2011-04-13,18.0,3.1,47735.16
2011-04-14,14.8,3.9,47899.27
2011-04-15,11.7,0.8,48063.26
2011-04-16,16.1,1.8,48227.04
2011-04-17,18.0,3.6,48390.48
2011-04-18,19.4,5.2,48553.48
2011-04-19,15.7,6.6,48715.92
2011-04-20,15.1,5.3,48877.68
2011-04-21,16.1,6.1,49038.63
2011-04-22,13.6,5.7,49198.66
2011-04-23,12.3,4.4,49357.63
2011-04-24,11.8,6.7,49515.43
2011-04-25,11.9,7.0,49671.91
2011-04-26,13.3,6.8,49826.94
2011-04-27,15.8,5.3,49980.38
2011-04-28,14.1,3.6,50132.09
2011-04-29,15.4,2.5,50281.93
2011-04-30,16.2,5.1,50429.75
2011-05-01,16.6,6.1,50575.61
2011-05-02,16.8,4.8,50720.62
2011-05-03,14.3,7.6,50864.86
2011-05-04,16.2,4.5,51008.21
2011-05-05,19.9,5.9,51150.55
2011-05-06,20.8,6.1,51291.77
2011-05-07,15.2,7.5,51431.71
2011-05-08,19.7,3.9,51570.28
2011-05-09,22.2,6.3,51707.32
2011-05-10,22.4,9.2,51842.69
2011-05-11,22.4,9.0,51976.27
2011-05-12,16.7,10.8,52107.91
2011-05-13,20.1,9.5,52237.46
2011-05-14,11.3,5.0,52364.78
2011-05-15,12.2,3.5,52489.71
2011-05-16,17.6,2.1,52612.12
2011-05-17,20.8,4.6,52731.84
2011-05-18,20.5,9.3,52848.70
2011-05-19,18.4,8.8,52962.55
2011-05-20,18.3,8.8,53073.24
2011-05-21,21.1,9.1,53180.76
2011-05-22,17.0,10.1,53286.01
2011-05-23,23.7,7.5,53389.05
2011-05-24,21.5,9.4,53489.78
2011-05-25,26.7,8.4,53588.09
2011-05-26,16.0,9.7,53683.89
2011-05-27,12.2,7.5,53777.03
2011-05-28,19.5,4.4,53867.44
2011-05-29,24.0,7.1,53955.00
2011-05-30,18.6,10.5,54039.59
2011-05-31,10.9,5.4,54121.09
2011-06-01,11.2,4.1,54199.41
2011-06-02,13.4,5.4,54274.42
2011-06-03,17.2,7.0,54346.02
2011-06-04,17.5,8.1,54414.08
2011-06-05,19.0,7.8,54478.50
2011-06-06,16.5,8.8,54539.15
2011-06-07,10.4,7.1,54595.95
2011-06-08,12.4,6.8,54648.76
2011-06-09,17.6,4.6,54697.47
2011-06-10,12.0,7.7,54742.06
2011-06-11,17.7,6.5,54782.89
2011-06-12,24.1,6.8,54820.01
2011-06-13,20.0,9.8,54853.40
2011-06-14,22.7,9.6,54883.04
2011-06-15,23.5,12.5,54908.92
2011-06-16,15.5,11.5,54931.00
2011-06-17,24.8,9.7,54949.30
2011-06-18,14.2,8.6,54963.79
2011-06-19,22.1,7.8,54974.45
2011-06-20,27.2,9.3,54981.28
2011-06-21,25.9,11.8,54984.29
2011-06-22,16.4,10.5,54983.45
2011-06-23,16.6,8.7,54978.77
2011-06-24,21.2,7.3,54970.24
2011-06-25,27.9,8.1,54957.88
2011-06-26,30.6,13.0,54941.68
2011-06-27,31.5,14.6,54921.63
2011-06-28,23.2,9.8,54897.77
2011-06-29,12.7,7.5,54870.08
2011-06-30,18.3,5.8,54838.53
2011-07-01,22.7,7.0,54802.78
2011-07-02,27.8,10.8,54762.88
2011-07-03,22.8,13.7,54718.93
2011-07-04,21.7,11.4,54671.02
2011-07-05,27.9,9.4,54619.25
2011-07-06,22.5,11.0,54563.73
2011-07-07,21.3,10.0,54504.55
2011-07-08,24.9,8.0,54441.84
2011-07-09,23.2,11.2,54375.68
2011-07-10,20.9,13.6,54306.18
2011-07-11,30.4,13.2,54233.45
2011-07-12,22.3,9.9,54157.59
2011-07-13,14.1,9.5,54078.71
2011-07-14,18.4,7.9,53996.91
2011-07-15,23.5,6.7,53912.29
2011-07-16,26.4,10.3,53824.95
2011-07-17,15.0,9.4,53735.01
2011-07-18,21.8,8.3,53642.55
2011-07-19,14.2,9.0,53547.69
2011-07-20,22.3,8.3,53450.35
2011-07-21,15.3,9.7,53349.68
2011-07-22,16.2,8.3,53245.69
2011-07-23,16.9,7.3,53138.52
2011-07-24,16.9,6.8,53028.35
2011-07-25,20.0,12.4,52915.32
2011-07-26,18.6,12.2,52799.58
2011-07-27,18.9,10.8,52681.30
2011-07-28,21.1,9.4,52560.61
2011-07-29,23.4,10.1,52437.67
2011-07-30,22.5,11.0,52312.62
2011-07-31,25.0,9.2,52185.60
2011-08-01,30.4,11.3,52056.75
2011-08-02,24.2,14.4,51926.22
2011-08-03,22.1,14.1,51794.12
2011-08-04,26.9,11.5,51660.59
2011-08-05,24.8,14.3,51525.78
2011-08-06,26.8,13.3,51389.78
2011-08-07,25.0,12.0,51252.74
2011-08-08,17.7,10.2,51114.77
2011-08-09,18.7,8.5,50975.80
2011-08-10,24.8,7.2,50834.73
2011-08-11,26.7,9.8,50691.54
2011-08-12,27.4,12.1,50546.36
2011-08-13,27.6,13.8,50399.33
2011-08-14,27.2,13.4,50250.60
2011-08-15,23.7,14.7,50100.30
2011-08-16,28.5,12.9,49948.58
2011-08-17,32.1,15.1,49795.57
2011-08-18,28.5,14.6,49641.38
2011-08-19,31.4,14.1,49486.15
2011-08-20,33.6,16.2,49330.01
2011-08-21,33.3,15.7,49173.07
2011-08-22,28.1,16.0,49015.46
2011-08-23,28.2,14.2,48857.29
2011-08-24,19.3,14.8,48698.67
2011-08-25,28.8,11.1,48539.71
2011-08-26,19.0,10.8,48380.54
2011-08-27,19.2,9.1,48221.25
2011-08-28,25.4,7.6,48061.94
2011-08-29,23.6,11.7,47902.54
2011-08-30,26.9,12.2,47741.91
2011-08-31,26.1,13.1,47580.00
2011-09-01,26.4,14.0,47416.91
2011-09-02,25.2,13.9,47252.76
2011-09-03,17.1,13.6,47087.66
2011-09-04,19.1,10.9,46921.74
2011-09-05,17.0,10.3,46755.09
2011-09-06,24.2,6.9,46587.83
2011-09-07,23.0,9.8,46420.06
2011-09-08,25.3,9.3,46251.89
2011-09-09,29.1,11.2,46083.41
2011-09-10,29.7,12.0,45914.75
2011-09-11,21.3,12.1,45745.98
2011-09-12,24.4,10.3,45577.22
2011-09-13,25.8,11.4,45408.57
2011-09-14,24.0,13.2,45240.11
2011-09-15,27.8,13.8,45071.95
2011-09-16,25.2,12.9,44904.20
2011-09-17,20.6,12.6,44736.93
2011-09-18,12.2,8.0,44570.04
2011-09-19,14.5,7.7,44402.41
2011-09-20,22.8,5.7,44233.93
2011-09-21,25.0,8.7,44064.72
2011-09-22,21.7,11.7,43894.88
2011-09-23,23.2,11.7,43724.51
2011-09-24,17.8,11.5,43553.73
2011-09-25,23.6,8.4,43382.63
2011-09-26,23.9,9.1,43211.33
2011-09-27,24.8,9.7,43039.92
2011-09-28,25.3,11.3,42868.52
2011-09-29,23.8,9.3,42697.22
2011-09-30,23.3,8.8,42526.14
2011-10-01,23.2,8.5,42355.38
2011-10-02,23.9,8.4,42185.04
2011-10-03,24.0,8.6,42015.23
2011-10-04,22.7,9.5,41846.07
2011-10-05,22.1,8.8,41677.66
2011-10-06,20.9,9.1,41510.11
2011-10-07,12.0,7.1,41343.52
2011-10-08,10.3,7.0,41177.80
2011-10-09,13.0,6.8,41011.71
2011-10-10,23.1,5.6,40845.13
2011-10-11,24.1,9.2,40678.20
2011-10-12,23.3,9.7,40511.03
2011-10-13,21.2,9.0,40343.74
2011-10-14,21.1,6.2,40176.45
2011-10-15,21.3,5.0,40009.30
2011-10-16,20.2,5.7,39842.39
2011-10-17,19.1,5.1,39675.86
2011-10-18,19.7,4.4,39509.84
2011-10-19,13.1,6.8,39344.47
2011-10-20,9.2,3.1,39179.86
2011-10-21,14.9,-0.3,39016.16
2011-10-22,17.4,1.5,38853.50
2011-10-23,18.1,4.6,38692.03
2011-10-24,13.9,4.7,38531.89
