latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.386642,-3.6760864,651.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,8.9,3.8,33645.67
2011-01-02,10.7,1.8,33688.50
2011-01-03,9.4,1.1,33735.61
2011-01-04,6.8,1.8,33786.87
2011-01-05,9.5,5.2,33842.14
2011-01-06,11.9,8.3,33901.30
2011-01-07,11.4,8.1,33964.23
2011-01-08,11.6,7.3,34030.78
2011-01-09,9.4,5.1,34100.84
2011-01-10,8.2,2.3,34174.26
2011-01-11,12.7,5.2,34250.91
2011-01-12,13.7,4.6,34330.68
2011-01-13,12.1,2.8,34413.43
2011-01-14,11.9,2.0,34499.02
2011-01-15,12.2,1.0,34587.35
2011-01-16,10.9,0.3,34678.27
2011-01-17,9.9,0.6,34771.67
2011-01-18,10.2,1.5,34867.41
2011-01-19,10.6,1.9,34965.39
2011-01-20,10.1,1.0,35065.48
2011-01-21,5.8,-2.4,35167.76
2011-01-22,5.1,-3.8,35273.34
2011-01-23,3.7,-3.2,35382.25
2011-01-24,6.3,-3.8,35494.30
2011-01-25,6.7,-4.1,35609.29
2011-01-26,5.6,-2.8,35727.05
2011-01-27,4.0,0.4,35847.40
2011-01-28,6.0,1.1,35970.16
2011-01-29,6.6,-0.6,36095.16
2011-01-30,6.3,-1.8,36222.22
2011-01-31,6.6,-3.2,36351.18
2011-02-01,8.2,-2.4,36481.88
2011-02-02,10.8,-1.3,36614.14
2011-02-03,12.2,-0.6,36747.81
2011-02-04,12.9,-1.5,36882.74
2011-02-05,14.6,-1.4,37018.78
2011-02-06,15.2,-0.3,37155.77
2011-02-07,14.6,-0.1,37293.57
2011-02-08,13.1,-0.3,37432.02
2011-02-09,12.2,1.1,37571.00
2011-02-10,13.1,-0.5,37710.61
2011-02-11,12.1,1.5,37852.15
2011-02-12,12.8,-0.6,37995.70
2011-02-13,11.3,1.4,38141.11
2011-02-14,8.2,-1.6,38288.21
2011-02-15,9.2,2.8,38436.86
2011-02-16,7.3,1.2,38586.90
2011-02-17,9.2,1.9,38738.19
2011-02-18,10.6,0.8,38890.59
2011-02-19,9.5,4.0,39043.95
2011-02-20,13.2,3.3,39198.13
2011-02-21,12.4,2.2,39353.00
2011-02-22,14.9,6.6,39508.42
2011-02-23,15.9,6.2,39664.27
2011-02-24,16.9,2.3,39820.40
2011-02-25,18.9,2.5,39976.70
2011-02-26,19.1,3.2,40133.05
2011-02-27,11.2,2.5,40289.30
2011-02-28,9.4,-0.4,40445.34
2011-03-01,8.6,-1.2,40601.06
2011-03-02,8.9,0.4,40756.54
2011-03-03,7.6,-0.4,40913.04
2011-03-04,7.8,-0.6,41070.65
2011-03-05,9.4,1.4,41229.27
2011-03-06,12.5,-1.0,41388.76
2011-03-07,14.8,0.4,41549.02
2011-03-08,12.4,2.7,41709.93
2011-03-09,14.1,5.3,41871.39
2011-03-10,16.2,1.5,42033.27
2011-03-11,10.3,3.8,42195.48
2011-03-12,12.1,5.9,42357.89
2011-03-13,11.9,5.0,42520.42
2011-03-14,11.6,4.4,42682.93
2011-03-15,12.1,5.6,42845.34
2011-03-16,11.5,4.1,43007.53
2011-03-17,15.1,4.3,43169.38
2011-03-18,17.9,1.8,43330.80
2011-03-19,18.2,1.9,43491.69
2011-03-20,17.4,2.2,43651.92
2011-03-21,15.1,4.2,43811.39
2011-03-22,13.2,3.3,43970.21
2011-03-23,11.8,3.5,44129.50
2011-03-24,11.7,5.9,44289.39
2011-03-25,16.1,6.0,44449.76
2011-03-26,15.9,6.2,44610.52
2011-03-27,13.3,6.2,44771.56
2011-03-28,13.6,3.5,44932.80
2011-03-29,16.0,6.8,45094.13
2011-03-30,17.9,6.8,45255.46
2011-03-31,19.9,4.3,45416.67
2011-04-01,22.8,6.4,45577.67
2011-04-02,21.4,7.8,45738.36
2011-04-03,17.1,10.9,45898.63
2011-04-04,20.1,8.9,46058.38
2011-04-05,23.8,8.1,46217.50
2011-04-06,24.9,8.2,46375.88
2011-04-07,25.4,12.0,46533.41
2011-04-08,26.4,9.6,46689.99
2011-04-09,26.2,12.4,46845.50
2011-04-10,23.2,9.8,46999.82
2011-04-11,21.8,9.1,47153.04
2011-04-12,22.2,7.7,47306.23
2011-04-13,24.1,7.2,47459.52
2011-04-14,25.4,8.4,47612.78
2011-04-15,22.0,8.6,47765.92
2011-04-16,19.8,10.2,47918.83
2011-04-17,20.9,7.2,48071.42
2011-04-18,22.3,7.4,48223.57
2011-04-19,20.2,9.8,48375.18
2011-04-20,18.1,11.4,48526.12
2011-04-21,19.2,9.4,48676.30
2011-04-22,13.4,8.2,48825.59
2011-04-23,15.3,6.6,48973.87
2011-04-24,18.0,8.6,49121.03
2011-04-25,18.8,8.6,49266.93
2011-04-26,19.1,7.4,49411.46
2011-04-27,21.4,8.9,49554.49
2011-04-28,21.7,9.4,49695.88
2011-04-29,20.0,10.2,49835.50
2011-04-30,16.5,8.7,49973.21
2011-05-01,18.2,9.4,50109.07
2011-05-02,20.3,9.9,50244.11
2011-05-03,20.2,9.1,50378.41
2011-05-04,20.9,8.7,50511.86
2011-05-05,21.8,9.3,50644.35
2011-05-06,22.8,12.1,50775.75
2011-05-07,16.0,10.7,50905.96
2011-05-08,20.2,7.7,51034.84
2011-05-09,24.6,7.5,51162.29
2011-05-10,25.5,11.1,51288.16
2011-05-11,25.8,10.7,51412.33
2011-05-12,19.8,13.4,51534.68
2011-05-13,24.4,11.6,51655.06
2011-05-14,25.4,12.7,51773.35
2011-05-15,21.3,8.4,51889.39
2011-05-16,23.1,9.1,52003.06
2011-05-17,22.1,10.6,52114.20
2011-05-18,24.1,12.1,52222.68
2011-05-19,17.3,11.9,52328.34
2011-05-20,22.6,9.7,52431.04
2011-05-21,24.1,9.9,52530.79
2011-05-22,25.8,11.9,52628.40
2011-05-23,27.4,12.8,52723.95
2011-05-24,29.1,14.1,52817.34
2011-05-25,30.1,13.9,52908.47
2011-05-26,28.2,15.2,52997.24
2011-05-27,25.4,15.5,53083.55
2011-05-28,26.5,13.9,53167.30
2011-05-29,26.7,16.1,53248.41
2011-05-30,22.9,14.0,53326.74
2011-05-31,22.6,13.1,53402.21
2011-06-01,21.9,9.6,53474.71
2011-06-02,21.8,9.1,53544.14
2011-06-03,22.6,10.9,53610.39
2011-06-04,23.4,12.1,53673.37
2011-06-05,24.8,12.7,53732.97
2011-06-06,22.1,14.6,53789.08
2011-06-07,17.1,12.5,53841.61
2011-06-08,20.2,10.5,53890.45
2011-06-09,21.5,11.6,53935.49
2011-06-10,21.0,11.6,53976.72
2011-06-11,24.9,12.1,54014.47
2011-06-12,28.6,13.8,54048.78
2011-06-13,28.5,15.3,54079.65
2011-06-14,29.4,13.6,54107.04
2011-06-15,31.3,15.5,54130.96
2011-06-16,29.6,16.1,54151.37
2011-06-17,30.1,17.2,54168.28
2011-06-18,28.0,15.9,54181.66
2011-06-19,30.8,14.1,54191.52
2011-06-20,33.0,17.4,54197.83
2011-06-21,33.9,19.1,54200.61
2011-06-22,32.2,18.5,54199.84
2011-06-23,31.0,17.0,54195.51
2011-06-24,32.3,17.0,54187.63
2011-06-25,34.8,19.1,54176.21
2011-06-26,36.5,20.8,54161.23
2011-06-27,35.3,21.9,54142.71
2011-06-28,34.3,21.5,54120.65
2011-06-29,33.2,18.9,54095.07
2011-06-30,33.2,17.1,54065.90
2011-07-01,34.0,18.3,54032.86
2011-07-02,33.7,21.4,53995.97
2011-07-03,30.2,21.5,53955.33
2011-07-04,30.5,16.8,53911.03
2011-07-05,32.8,18.9,53863.16
2011-07-06,31.7,18.9,53811.81
2011-07-07,29.5,16.6,53757.08
2011-07-08,29.0,14.6,53699.05
2011-07-09,30.6,16.7,53637.85
2011-07-10,31.9,17.8,53573.54
2011-07-11,33.3,17.5,53506.21
2011-07-12,30.6,17.7,53436.00
2011-07-13,25.0,14.6,53362.96
2011-07-14,27.9,13.9,53287.22
2011-07-15,30.8,16.6,53208.84
2011-07-16,33.5,17.8,53127.95
2011-07-17,29.0,19.8,53044.61
2011-07-18,29.2,15.7,52958.94
2011-07-19,26.6,17.1,52871.02
2011-07-20,30.3,14.9,52780.78
2011-07-21,32.3,16.9,52687.45
2011-07-22,30.7,15.9,52591.01
2011-07-23,30.8,16.5,52491.61
