latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
35.32513,-2.99234,11.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,17.5,11.2,35350.50
2011-01-02,17.0,13.3,35385.44
2011-01-03,16.8,10.4,35423.87
2011-01-04,18.5,9.0,35465.69
2011-01-05,19.8,8.5,35510.80
2011-01-06,20.6,8.2,35559.10
2011-01-07,22.4,8.9,35610.48
2011-01-08,22.1,10.5,35664.84
2011-01-09,17.5,11.2,35722.07
2011-01-10,15.8,11.2,35782.07
2011-01-11,17.7,10.7,35844.75
2011-01-12,18.5,10.7,35909.97
2011-01-13,18.4,8.3,35977.67
2011-01-14,18.4,7.8,36047.72
2011-01-15,18.5,9.3,36120.03
2011-01-16,18.6,11.1,36194.48
2011-01-17,17.6,9.9,36271.00
2011-01-18,16.5,10.4,36349.47
2011-01-19,16.6,12.8,36429.80
2011-01-20,16.5,11.0,36511.88
2011-01-21,15.7,10.8,36595.80
2011-01-22,12.2,10.4,36682.47
2011-01-23,11.8,9.5,36771.89
2011-01-24,13.7,11.8,36863.93
2011-01-25,15.5,12.1,36958.43
2011-01-26,15.2,12.4,37055.25
2011-01-27,14.7,10.6,37154.23
2011-01-28,17.9,10.4,37255.23
2011-01-29,15.1,9.4,37358.12
2011-01-30,14.2,9.5,37462.75
2011-01-31,13.2,9.4,37568.99
2011-02-01,11.8,6.7,37676.70
2011-02-02,14.0,8.0,37785.75
2011-02-03,15.0,7.3,37896.00
2011-02-04,15.8,5.0,38007.33
2011-02-05,16.0,5.1,38119.62
2011-02-06,16.4,4.8,38232.74
2011-02-07,16.5,4.7,38346.57
2011-02-08,16.2,5.4,38460.98
2011-02-09,17.0,5.4,38575.88
2011-02-10,16.4,8.6,38691.33
2011-02-11,16.5,6.4,38808.42
2011-02-12,16.9,6.2,38927.21
2011-02-13,18.8,6.7,39047.58
2011-02-14,15.0,12.2,39169.40
2011-02-15,17.8,9.8,39292.53
2011-02-16,17.9,11.0,39416.86
2011-02-17,14.9,10.8,39542.27
2011-02-18,16.2,11.9,39668.62
2011-02-19,17.5,10.4,39795.82
2011-02-20,17.0,12.0,39923.74
2011-02-21,16.7,13.8,40052.26
2011-02-22,16.7,14.3,40181.28
2011-02-23,20.0,11.8,40310.68
2011-02-24,19.9,9.0,40440.36
2011-02-25,19.6,8.7,40570.21
2011-02-26,21.7,8.8,40700.11
2011-02-27,20.1,13.7,40829.98
2011-02-28,16.8,12.1,40959.70
2011-03-01,14.3,9.8,41089.17
2011-03-02,14.5,7.6,41218.47
2011-03-03,15.5,4.8,41348.64
2011-03-04,16.4,6.6,41479.77
2011-03-05,17.3,8.3,41611.74
2011-03-06,16.4,13.0,41744.46
2011-03-07,16.6,12.5,41877.85
2011-03-08,18.1,13.9,42011.80
2011-03-09,17.4,13.9,42146.21
2011-03-10,15.3,13.8,42281.00
2011-03-11,17.0,14.0,42416.07
2011-03-12,17.3,12.4,42551.33
2011-03-13,19.1,10.8,42686.69
2011-03-14,19.4,10.9,42822.05
2011-03-15,15.5,11.9,42957.33
2011-03-16,17.1,10.0,43092.43
2011-03-17,16.6,12.8,43227.26
2011-03-18,19.5,10.7,43361.74
2011-03-19,21.1,8.1,43495.77
2011-03-20,19.7,9.4,43629.26
2011-03-21,17.2,14.0,43762.12
2011-03-22,15.5,13.4,43894.42
2011-03-23,17.9,13.6,44027.12
2011-03-24,22.0,14.5,44160.31
2011-03-25,19.3,13.2,44293.90
2011-03-26,20.5,12.3,44427.80
2011-03-27,19.2,13.9,44561.94
2011-03-28,20.1,13.4,44696.22
2011-03-29,19.9,14.1,44830.58
2011-03-30,21.3,13.6,44964.91
2011-03-31,23.5,10.7,45099.14
2011-04-01,23.2,13.0,45233.17
2011-04-02,26.2,12.4,45366.93
2011-04-03,25.3,15.6,45500.31
2011-04-04,21.4,13.8,45633.25
2011-04-05,19.5,16.4,45765.64
2011-04-06,21.0,16.1,45897.40
2011-04-07,20.6,15.3,46028.43
2011-04-08,22.3,12.6,46158.63
2011-04-09,24.2,12.2,46287.92
2011-04-10,24.7,16.4,46416.20
2011-04-11,22.4,13.8,46543.54
2011-04-12,21.4,15.6,46670.82
2011-04-13,23.3,15.4,46798.15
2011-04-14,25.5,13.6,46925.43
2011-04-15,23.2,14.2,47052.58
2011-04-16,20.7,16.2,47179.51
2011-04-17,20.1,15.9,47306.13
2011-04-18,20.0,15.5,47432.35
2011-04-19,22.2,14.2,47558.09
2011-04-20,20.5,14.8,47683.23
2011-04-21,21.0,15.9,47807.70
2011-04-22,21.5,13.6,47931.40
2011-04-23,19.7,13.2,48054.22
2011-04-24,18.5,14.4,48176.07
2011-04-25,19.9,13.9,48296.84
2011-04-26,22.1,12.1,48416.44
2011-04-27,23.7,13.0,48534.74
2011-04-28,23.2,15.2,48651.64
2011-04-29,18.9,14.6,48767.05
2011-04-30,21.9,12.9,48880.84
2011-05-01,20.7,14.1,48993.05
2011-05-02,20.5,14.2,49104.54
2011-05-03,21.2,14.1,49215.38
2011-05-04,22.5,14.6,49325.46
2011-05-05,23.5,14.3,49434.72
2011-05-06,23.8,15.1,49543.04
2011-05-07,21.0,16.7,49650.32
2011-05-08,23.8,14.1,49756.48
2011-05-09,24.3,14.0,49861.40
2011-05-10,22.2,17.2,49964.98
2011-05-11,22.6,17.8,50067.13
2011-05-12,24.1,17.3,50167.72
2011-05-13,23.6,17.0,50266.66
2011-05-14,26.1,15.9,50363.84
2011-05-15,23.0,15.9,50459.13
2011-05-16,22.9,18.3,50552.43
2011-05-17,23.6,18.0,50643.62
2011-05-18,21.2,18.0,50732.58
2011-05-19,21.5,17.3,50819.20
2011-05-20,21.2,16.3,50903.36
2011-05-21,23.5,15.6,50985.06
2011-05-22,24.2,13.1,51064.98
2011-05-23,25.4,15.0,51143.19
2011-05-24,27.0,15.0,51219.59
2011-05-25,27.4,16.6,51294.12
2011-05-26,27.7,17.4,51366.69
2011-05-27,31.2,19.2,51437.22
2011-05-28,28.8,21.3,51505.64
2011-05-29,26.4,20.1,51571.85
2011-05-30,24.7,19.1,51635.80
2011-05-31,25.0,19.0,51697.38
2011-06-01,25.8,18.0,51756.52
2011-06-02,23.7,18.9,51813.14
2011-06-03,23.4,18.4,51867.15
2011-06-04,23.6,17.8,51918.47
2011-06-05,23.4,18.1,51967.03
2011-06-06,24.4,17.1,52012.73
2011-06-07,23.3,17.2,52055.50
2011-06-08,23.4,17.3,52095.26
2011-06-09,24.3,15.4,52131.92
2011-06-10,25.2,17.6,52165.47
2011-06-11,27.3,17.3,52196.18
2011-06-12,27.6,17.2,52224.09
2011-06-13,29.1,19.2,52249.19
2011-06-14,29.9,20.1,52271.47
2011-06-15,30.2,17.8,52290.91
2011-06-16,32.1,18.5,52307.50
2011-06-17,32.2,20.3,52321.25
2011-06-18,30.4,23.5,52332.13
2011-06-19,29.6,21.1,52340.14
2011-06-20,29.0,21.4,52345.27
2011-06-21,29.8,20.2,52347.53
2011-06-22,31.2,19.6,52346.90
2011-06-23,32.9,21.8,52343.38
2011-06-24,28.7,22.7,52336.98
2011-06-25,28.2,22.3,52327.70
2011-06-26,29.0,21.4,52315.52
2011-06-27,29.9,20.6,52300.46
2011-06-28,32.1,20.6,52282.54
2011-06-29,34.0,21.2,52261.73
2011-06-30,29.8,21.5,52238.01
2011-07-01,30.3,22.1,52211.14
2011-07-02,34.6,21.3,52181.13
2011-07-03,28.3,22.0,52148.07
2011-07-04,27.0,20.7,52112.01
2011-07-05,31.0,17.5,52073.05
2011-07-06,33.5,18.2,52031.23
2011-07-07,30.7,23.5,51986.67
2011-07-08,30.8,22.8,51939.40
2011-07-09,31.7,22.8,51889.52
2011-07-10,31.3,21.7,51837.10
2011-07-11,31.4,21.4,51782.22
2011-07-12,29.5,23.0,51724.95
2011-07-13,29.4,22.5,51665.36
2011-07-14,29.8,19.2,51603.54
2011-07-15,28.5,21.1,51539.56
2011-07-16,30.1,22.3,51473.49
2011-07-17,31.6,21.2,51405.40
2011-07-18,28.0,21.7,51335.38
2011-07-19,28.0,20.7,51263.49
2011-07-20,28.4,21.2,51189.68
2011-07-21,28.8,20.7,51113.32
