latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.996483,-1.0887146,51.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,15.9,6.1,34483.77
2011-01-02,16.7,6.0,34522.68
2011-01-03,14.8,5.0,34565.48
2011-01-04,15.4,2.2,34612.04
2011-01-05,14.1,4.3,34662.27
2011-01-06,19.1,5.2,34716.04
2011-01-07,19.3,6.3,34773.23
2011-01-08,17.8,4.2,34833.73
2011-01-09,17.6,6.4,34897.42
2011-01-10,15.7,5.9,34964.18
2011-01-11,18.5,4.6,35033.90
2011-01-12,19.5,10.3,35106.46
2011-01-13,19.8,5.7,35181.74
2011-01-14,20.0,4.5,35259.63
2011-01-15,18.5,5.8,35340.02
2011-01-16,17.5,4.4,35422.78
2011-01-17,18.9,3.5,35507.82
2011-01-18,15.0,4.0,35595.01
2011-01-19,14.3,7.3,35684.25
2011-01-20,15.0,4.3,35775.42
2011-01-21,11.6,2.2,35868.62
2011-01-22,9.2,-2.3,35964.85
2011-01-23,9.2,-0.5,36064.12
2011-01-24,10.3,5.7,36166.28
2011-01-25,10.5,6.4,36271.14
2011-01-26,12.1,3.7,36378.56
2011-01-27,8.9,5.9,36488.35
2011-01-28,12.5,4.1,36600.37
2011-01-29,14.8,1.1,36714.45
2011-01-30,13.7,0.1,36830.45
2011-01-31,11.9,3.8,36948.20
2011-02-01,13.9,3.0,37067.55
2011-02-02,15.8,3.7,37188.37
2011-02-03,15.9,2.2,37310.50
2011-02-04,17.4,1.3,37433.81
2011-02-05,18.7,1.3,37558.14
2011-02-06,19.5,2.0,37683.38
2011-02-07,17.4,1.7,37809.38
2011-02-08,16.0,2.2,37936.00
2011-02-09,17.9,3.6,38063.13
2011-02-10,16.5,3.7,38190.86
2011-02-11,17.3,0.8,38320.37
2011-02-12,19.8,2.5,38451.75
2011-02-13,19.5,3.0,38584.85
2011-02-14,16.5,8.8,38719.52
2011-02-15,12.9,4.9,38855.64
2011-02-16,16.7,2.4,38993.05
2011-02-17,15.1,5.3,39131.63
2011-02-18,18.6,8.0,39271.25
