latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.8471,-1.7333069,417.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,11.8,4.4,32708.57
2011-01-02,7.0,1.7,32755.90
2011-01-03,3.2,-0.5,32807.95
2011-01-04,7.5,-0.5,32864.57
2011-01-05,9.3,1.7,32925.62
2011-01-06,12.1,7.0,32990.96
2011-01-07,12.9,8.5,33060.45
2011-01-08,13.4,8.0,33133.92
2011-01-09,8.8,2.1,33211.24
2011-01-10,9.6,-0.2,33292.26
2011-01-11,9.9,2.9,33376.83
2011-01-12,13.1,6.9,33464.82
2011-01-13,14.9,2.4,33556.08
2011-01-14,14.1,2.7,33650.45
2011-01-15,12.7,0.8,33747.82
2011-01-16,12.0,3.5,33848.02
2011-01-17,12.5,3.2,33950.92
2011-01-18,11.4,4.2,34056.39
2011-01-19,8.9,5.3,34164.29
2011-01-20,7.2,-0.6,34274.48
2011-01-21,0.9,-2.0,34387.07
2011-01-22,-0.8,-3.0,34503.27
2011-01-23,1.8,-3.9,34623.08
2011-01-24,3.0,-4.5,34746.32
2011-01-25,3.2,-3.5,34872.77
2011-01-26,4.9,-3.6,35002.23
2011-01-27,5.6,-1.8,35134.50
2011-01-28,3.8,0.2,35269.39
2011-01-29,6.5,0.8,35406.70
2011-01-30,5.8,0.8,35546.23
2011-01-31,3.9,0.5,35687.82
2011-02-01,3.8,0.3,35831.27
2011-02-02,5.0,-0.5,35976.41
2011-02-03,7.7,2.2,36123.06
2011-02-04,10.9,-1.0,36271.05
2011-02-05,13.9,-0.8,36420.22
2011-02-06,15.7,0.9,36570.39
2011-02-07,15.0,4.4,36721.42
2011-02-08,13.2,3.4,36873.14
2011-02-09,13.2,2.1,37025.39
2011-02-10,13.7,2.7,37178.30
2011-02-11,12.2,3.3,37333.30
2011-02-12,11.0,3.4,37490.46
2011-02-13,11.5,0.5,37649.61
2011-02-14,8.7,2.1,37810.59
2011-02-15,8.3,1.4,37973.23
2011-02-16,8.6,-0.2,38137.36
2011-02-17,9.5,1.2,38302.82
2011-02-18,12.5,2.9,38469.46
2011-02-19,9.2,4.8,38637.13
