latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.7065,-1.9940796,558.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,11.6,2.5,32764.40
2011-01-02,7.1,2.3,32811.46
2011-01-03,4.4,-0.3,32863.21
2011-01-04,7.8,-0.1,32919.51
2011-01-05,9.0,1.4,32980.21
2011-01-06,11.9,6.1,33045.18
2011-01-07,12.7,6.8,33114.27
2011-01-08,13.6,6.4,33187.32
2011-01-09,7.3,2.0,33264.21
2011-01-10,10.0,-0.2,33344.77
2011-01-11,10.1,3.8,33428.88
2011-01-12,13.8,6.0,33516.36
2011-01-13,14.4,2.4,33607.11
2011-01-14,13.7,2.3,33700.95
2011-01-15,12.3,0.2,33797.77
2011-01-16,11.7,3.6,33897.41
2011-01-17,12.5,3.2,33999.75
2011-01-18,10.8,2.4,34104.64
2011-01-19,8.8,5.5,34211.94
2011-01-20,7.7,-0.2,34321.53
2011-01-21,1.2,-2.0,34433.49
2011-01-22,0.2,-2.6,34549.05
2011-01-23,2.3,-3.4,34668.21
2011-01-24,3.5,-3.5,34790.78
2011-01-25,4.0,-2.1,34916.55
2011-01-26,5.0,-3.5,35045.30
2011-01-27,4.4,-2.7,35176.86
2011-01-28,3.2,-1.0,35311.02
2011-01-29,6.2,0.3,35447.59
2011-01-30,5.6,0.6,35586.39
2011-01-31,4.1,-0.1,35727.21
2011-02-01,4.3,0.2,35869.90
2011-02-02,5.8,0.8,36014.27
2011-02-03,8.6,3.1,36160.14
2011-02-04,11.3,-0.7,36307.36
2011-02-05,14.3,-0.8,36455.74
2011-02-06,15.2,-1.3,36605.13
2011-02-07,14.3,4.6,36755.37
2011-02-08,12.7,3.5,36906.30
2011-02-09,12.7,2.8,37057.76
2011-02-10,13.2,3.0,37209.88
2011-02-11,12.0,3.5,37364.07
2011-02-12,10.2,-0.1,37520.41
2011-02-13,11.1,-0.4,37678.75
2011-02-14,8.6,0.8,37838.91
2011-02-15,8.2,0.9,38000.71
2011-02-16,9.3,-0.8,38164.00
2011-02-17,9.2,-0.8,38328.63
2011-02-18,12.2,2.1,38494.42
2011-02-19,8.6,4.8,38661.23
2011-02-20,12.5,1.9,38828.91
2011-02-21,9.1,2.1,38997.31
2011-02-22,9.7,7.8,39166.29
2011-02-23,11.3,6.1,39335.70
2011-02-24,11.5,4.9,39505.40
2011-02-25,15.8,3.8,39675.26
2011-02-26,11.7,4.3,39845.14
2011-02-27,6.8,2.7,40014.89
2011-02-28,5.4,1.9,40184.41
2011-03-01,6.0,0.6,40353.54
2011-03-02,6.7,2.2,40522.41
2011-03-03,5.8,0.3,40692.36
2011-03-04,7.9,-2.4,40863.51
2011-03-05,9.7,1.5,41035.72
2011-03-06,12.4,-1.5,41208.88
2011-03-07,13.3,1.6,41382.85
2011-03-08,10.5,3.7,41557.52
2011-03-09,11.8,2.5,41732.77
2011-03-10,14.9,1.7,41908.47
2011-03-11,14.5,2.3,42084.51
2011-03-12,9.3,4.5,42260.77
2011-03-13,13.4,3.3,42437.13
2011-03-14,11.2,4.5,42613.48
2011-03-15,11.9,8.1,42789.71
2011-03-16,9.7,7.3,42965.69
2011-03-17,9.1,5.3,43141.32
2011-03-18,12.6,3.8,43316.46
2011-03-19,11.4,2.8,43491.03
2011-03-20,11.7,3.0,43664.89
2011-03-21,12.5,0.5,43837.92
2011-03-22,9.8,2.3,44010.25
2011-03-23,13.1,1.6,44183.09
2011-03-24,11.0,3.7,44356.57
2011-03-25,15.4,4.6,44530.59
2011-03-26,16.4,6.4,44705.04
2011-03-27,13.0,5.3,44879.80
2011-03-28,13.6,4.9,45054.79
2011-03-29,14.1,5.5,45229.88
2011-03-30,12.8,5.2,45404.97
2011-03-31,19.3,6.7,45579.96
2011-04-01,22.2,7.3,45754.73
2011-04-02,22.6,8.0,45929.18
2011-04-03,11.7,7.4,46103.18
2011-04-04,12.9,6.0,46276.63
2011-04-05,21.6,4.1,46449.42
2011-04-06,23.3,11.1,46621.42
2011-04-07,24.2,11.5,46792.53
2011-04-08,26.2,11.3,46962.61
2011-04-09,25.6,11.2,47131.55
2011-04-10,14.8,9.8,47299.21
2011-04-11,14.2,9.9,47465.71
2011-04-12,14.4,6.4,47632.20
2011-04-13,19.0,4.1,47798.81
2011-04-14,16.3,5.6,47965.42
2011-04-15,14.9,4.4,48131.93
2011-04-16,17.7,3.8,48298.21
2011-04-17,20.2,6.0,48464.17
2011-04-18,20.4,9.8,48629.68
2011-04-19,18.1,8.9,48794.62
2011-04-20,16.4,8.8,48958.89
2011-04-21,18.4,9.2,49122.34
2011-04-22,14.3,8.6,49284.85
2011-04-23,15.7,7.3,49446.30
2011-04-24,15.6,8.9,49606.56
2011-04-25,15.2,10.3,49765.49
2011-04-26,16.5,10.4,49922.95
2011-04-27,18.2,8.7,50078.82
2011-04-28,17.7,7.6,50232.92
2011-04-29,18.9,5.8,50385.14
2011-04-30,19.8,9.5,50535.31
2011-05-01,19.8,10.0,50683.48
2011-05-02,20.0,9.9,50830.81
2011-05-03,17.2,9.8,50977.36
2011-05-04,19.7,6.3,51123.01
2011-05-05,22.3,7.2,51267.64
2011-05-06,22.8,12.5,51411.14
2011-05-07,15.5,9.3,51553.37
2011-05-08,21.4,8.0,51694.18
2011-05-09,24.3,8.5,51833.45
2011-05-10,23.9,11.3,51971.04
2011-05-11,25.9,12.5,52106.81
2011-05-12,19.7,13.2,52240.62
2011-05-13,23.8,10.8,52372.31
2011-05-14,14.5,8.8,52501.74
2011-05-15,15.2,7.8,52628.76
2011-05-16,20.2,6.4,52753.20
2011-05-17,24.2,7.0,52874.92
2011-05-18,25.0,10.1,52993.74
2011-05-19,21.1,13.4,53109.52
2011-05-20,21.5,12.0,53222.07
2011-05-21,24.7,10.7,53331.41
2011-05-22,19.1,12.4,53438.45
2011-05-23,26.8,9.8,53543.25
2011-05-24,22.1,12.2,53645.70
2011-05-25,30.1,9.6,53745.70
2011-05-26,18.6,12.2,53843.13
2011-05-27,16.2,9.5,53937.88
2011-05-28,21.9,5.9,54029.86
2011-05-29,28.3,8.5,54118.92
2011-05-30,22.9,13.8,54204.98
2011-05-31,13.7,9.1,54287.91
2011-06-01,14.6,8.7,54367.59
2011-06-02,17.0,10.2,54443.92
2011-06-03,20.2,10.4,54516.77
2011-06-04,21.2,10.4,54586.02
2011-06-05,21.0,10.9,54651.57
2011-06-06,21.3,13.2,54713.30
2011-06-07,13.7,11.0,54771.10
2011-06-08,15.9,10.0,54824.85
2011-06-09,19.7,7.6,54874.43
2011-06-10,15.1,9.8,54919.80
2011-06-11,19.8,8.2,54961.36
2011-06-12,24.9,9.5,54999.14
2011-06-13,21.8,12.7,55033.13
2011-06-14,25.9,12.3,55063.30
2011-06-15,25.9,13.9,55089.63
2011-06-16,18.5,12.6,55112.12
2011-06-17,27.1,10.8,55130.74
2011-06-18,16.8,11.5,55145.48
2011-06-19,23.8,10.2,55156.34
2011-06-20,30.0,12.0,55163.30
2011-06-21,29.0,14.3,55166.36
2011-06-22,18.8,13.4,55165.50
2011-06-23,18.6,11.7,55160.74
2011-06-24,22.5,9.3,55152.06
2011-06-25,30.4,10.1,55139.47
2011-06-26,34.7,17.2,55122.98
2011-06-27,34.8,18.4,55102.59
2011-06-28,22.9,14.0,55078.29
2011-06-29,16.0,10.7,55050.11
2011-06-30,20.4,9.7,55017.98
2011-07-01,24.1,10.4,54981.61
2011-07-02,30.1,10.1,54941.00
2011-07-03,26.2,15.6,54896.26
2011-07-04,24.4,13.8,54847.50
2011-07-05,30.2,11.3,54794.82
2011-07-06,21.2,13.6,54738.31
2011-07-07,20.7,11.9,54678.10
2011-07-08,28.1,10.2,54614.27
2011-07-09,24.4,14.8,54546.95
2011-07-10,22.0,15.8,54476.23
2011-07-11,31.9,14.5,54402.23
2011-07-12,23.8,13.8,54325.05
2011-07-13,17.9,12.8,54244.79
2011-07-14,21.6,11.9,54161.56
2011-07-15,26.1,10.0,54075.48
2011-07-16,27.5,13.3,53986.63
2011-07-17,17.4,12.1,53895.14
2011-07-18,24.8,10.8,53801.09
2011-07-19,16.6,11.8,53704.59
2011-07-20,23.0,11.3,53605.59
2011-07-21,19.0,12.6,53503.21
2011-07-22,19.0,11.8,53397.45
2011-07-23,18.9,12.2,53288.46
2011-07-24,19.1,11.2,53176.42
2011-07-25,20.0,15.3,53061.48
2011-07-26,21.0,15.1,52943.80
2011-07-27,21.4,14.2,52823.53
2011-07-28,22.8,12.7,52700.83
2011-07-29,24.6,12.8,52575.84
2011-07-30,24.6,13.0,52448.71
2011-07-31,27.1,12.5,52319.59
2011-08-01,31.8,13.2,52188.62
2011-08-02,28.8,18.1,52055.94
2011-08-03,25.8,16.2,51921.67
2011-08-04,29.6,13.9,51785.97
2011-08-05,27.8,16.6,51648.95
2011-08-06,30.4,16.2,51510.75
2011-08-07,25.3,15.3,51371.49
2011-08-08,20.5,13.4,51231.29
2011-08-09,20.2,12.1,51090.08
2011-08-10,27.0,10.2,50946.75
2011-08-11,29.6,13.4,50801.27
2011-08-12,29.7,13.5,50653.76
2011-08-13,31.0,15.0,50504.39
2011-08-14,29.7,16.5,50353.30
2011-08-15,26.5,17.7,50200.64
2011-08-16,32.2,14.6,50046.52
2011-08-17,33.4,17.7,49891.09
2011-08-18,30.1,16.9,49734.48
2011-08-19,34.8,19.1,49576.83
2011-08-20,37.2,20.6,49418.25
2011-08-21,36.8,20.1,49258.87
2011-08-22,31.9,19.3,49098.80
2011-08-23,29.2,17.5,48938.18
2011-08-24,21.8,17.0,48777.11
2011-08-25,31.0,15.1,48615.70
2011-08-26,21.0,13.8,48454.07
2011-08-27,20.9,11.1,48292.34
2011-08-28,27.0,9.6,48130.59
2011-08-29,24.3,13.7,47968.74
2011-08-30,29.0,13.2,47805.66
2011-08-31,29.8,17.6,47641.28
2011-09-01,29.6,19.0,47475.71
2011-09-02,28.9,17.9,47309.07
2011-09-03,21.0,17.0,47141.47
2011-09-04,21.0,14.6,46973.04
2011-09-05,19.5,12.1,46803.87
2011-09-06,26.7,10.1,46634.08
2011-09-07,25.5,11.9,46463.78
2011-09-08,28.1,12.6,46293.08
2011-09-09,31.4,15.5,46122.07
2011-09-10,33.2,17.5,45950.88
2011-09-11,24.6,15.8,45779.57
2011-09-12,27.9,13.9,45608.29
2011-09-13,28.9,13.7,45437.11
2011-09-14,24.0,16.2,45266.13
2011-09-15,31.4,16.6,45095.46
2011-09-16,27.0,17.9,44925.20
2011-09-17,23.0,15.3,44755.43
2011-09-18,14.8,11.3,44586.06
2011-09-19,17.7,10.9,44415.93
2011-09-20,25.4,8.5,44244.94
2011-09-21,28.1,12.5,44073.21
2011-09-22,23.7,14.5,43900.83
2011-09-23,26.8,13.6,43727.93
2011-09-24,21.3,14.6,43554.60
2011-09-25,26.5,13.1,43380.96
2011-09-26,27.7,14.4,43207.10
2011-09-27,28.4,14.9,43033.14
2011-09-28,28.4,15.4,42859.19
2011-09-29,26.9,14.4,42685.34
2011-09-30,25.9,12.1,42511.71
2011-10-01,25.5,12.0,42338.40
2011-10-02,27.5,13.3,42165.52
2011-10-03,28.1,11.0,41993.18
2011-10-04,26.3,10.7,41821.48
2011-10-05,24.6,11.8,41650.55
2011-10-06,23.0,11.5,41480.49
2011-10-07,15.0,10.9,41311.41
2011-10-08,14.0,10.6,41143.21
2011-10-09,16.6,10.5,40974.62
2011-10-10,25.0,8.2,40805.54
