latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.47276,-0.3734436,19.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,13.5,5.3,33973.82
2011-01-02,16.7,5.8,34015.11
2011-01-03,12.0,4.7,34060.52
2011-01-04,15.3,3.9,34109.93
2011-01-05,15.4,8.2,34163.21
2011-01-06,20.6,10.2,34220.25
2011-01-07,19.6,10.0,34280.91
2011-01-08,19.0,8.8,34345.09
2011-01-09,17.5,8.9,34412.63
2011-01-10,16.4,7.2,34483.43
2011-01-11,20.0,10.6,34557.36
2011-01-12,19.6,10.0,34634.28
2011-01-13,20.3,8.6,34714.09
2011-01-14,20.3,7.2,34796.65
2011-01-15,16.9,7.4,34881.85
2011-01-16,16.5,5.8,34969.57
2011-01-17,15.2,5.7,35059.68
2011-01-18,14.7,4.2,35152.06
2011-01-19,13.9,6.5,35246.60
2011-01-20,14.2,6.9,35343.18
2011-01-21,11.7,4.1,35441.89
2011-01-22,8.2,1.2,35543.80
2011-01-23,8.1,1.5,35648.92
2011-01-24,8.9,0.7,35757.08
2011-01-25,10.6,2.0,35868.10
2011-01-26,10.0,2.2,35981.80
2011-01-27,7.9,6.1,36098.00
2011-01-28,10.0,3.7,36216.55
2011-01-29,14.1,3.5,36337.26
2011-01-30,12.4,5.2,36459.98
2011-01-31,11.0,4.5,36584.54
2011-02-01,14.9,4.9,36710.79
2011-02-02,16.1,4.1,36838.55
2011-02-03,16.3,4.3,36967.70
2011-02-04,16.7,5.1,37098.08
2011-02-05,17.3,4.6,37229.53
2011-02-06,19.1,5.2,37361.91
2011-02-07,15.3,2.9,37495.08
2011-02-08,13.2,2.5,37628.91
2011-02-09,14.2,2.2,37763.24
2011-02-10,14.6,2.6,37898.20
2011-02-11,15.5,2.7,38035.03
2011-02-12,17.0,4.1,38173.81
2011-02-13,19.7,5.2,38314.40
2011-02-14,16.7,10.0,38456.64
2011-02-15,12.6,9.4,38600.38
2011-02-16,16.0,8.0,38745.48
2011-02-17,15.6,7.4,38891.80
2011-02-18,18.7,8.4,39039.19
2011-02-19,19.6,9.5,39187.53
2011-02-20,19.8,11.4,39336.67
2011-02-21,19.1,10.9,39486.48
2011-02-22,23.4,14.1,39636.84
2011-02-23,19.6,10.3,39787.62
2011-02-24,19.5,8.9,39938.68
2011-02-25,21.1,6.5,40089.91
2011-02-26,22.1,10.4,40241.19
2011-02-27,17.8,9.7,40392.39
2011-02-28,15.0,6.6,40543.39
2011-03-01,15.3,5.1,40694.08
2011-03-02,14.8,5.4,40844.55
2011-03-03,11.9,5.2,40996.01
2011-03-04,11.2,7.0,41148.56
2011-03-05,13.1,6.8,41302.07
2011-03-06,15.1,5.1,41456.45
2011-03-07,15.0,3.8,41611.57
2011-03-08,13.9,9.6,41767.32
2011-03-09,12.6,9.2,41923.61
2011-03-10,14.1,6.5,42080.32
2011-03-11,12.8,5.9,42237.33
2011-03-12,15.7,8.7,42394.56
2011-03-13,20.4,8.5,42551.89
2011-03-14,14.3,9.0,42709.21
2011-03-15,18.5,11.1,42866.44
